ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_CONCEPT	SOURCE_FORM	PARTIAL	PARTIALIDS	CLPA	CONCEPTICON_ID	GLOTTOLOG	MORPHEMES	ALIGNMENT	PATTERNS
390	Tanxi_Tujia	that	ta²¹	t a ²¹	128	that	ta21	a	274	c118 v130 t004	78	sout2739		t a ²¹	26 2 6
391	Tasha_Tujia	this	ɤŋ⁵⁵	ɤ ŋ ⁵⁵	129	this	ɤŋ55 ~ ɤŋ55-ti55	c	276	v084 c795 t041	1214	nort2732		ɤ ŋ ⁵⁵	27 9 6
392	Duogu_Tujia	this	kaj²⁴+ti⁴⁴	k a j ²⁴ + t i ⁴⁴	130	this	kay24-ti44	de	277 278	c831 v130 c564 t008 c118 v191 t030	1214	nort2732	this-2 ?	k a j ²⁴ + t i ⁴⁴	28 1 7 29 + 0 0 0
393	Dianfang_Tujia	this	ũ⁵⁵	ũ ∼ ⁵⁵	129	this	ũ55 ~ ẽ55	c	276	v025 m002 t041	1214	nort2732		ũ ∼ ⁵⁵	27 9 6
394	Boluo_Tujia	this	ʥia²¹+bu²¹	dʑ i a ²¹ + b u ²¹	131	this	ʓia21-bu21	ab	279 280	c195 v191 v130 t004 c254 v027 t004	1214	sout2739	this ?	dʑ i a ²¹ + b u ²¹	30 13 2 11 + 0 0 0
395	Tanxi_Tujia	this	ʥia²¹	dʑ i a ²¹	131	this	ʓia21	a	279	c195 v191 v130 t004	1214	sout2739	this	dʑ i a ²¹	30 13 2 11
396	Tasha_Tujia	this	kaj²⁴	k a j ²⁴	130	this	kay24	d	277	c831 v130 c564 t008	1214	nort2732	this-2	k a j ²⁴	28 1 7 29
397	Dianfang_Tujia	this	kaj³⁵	k a j ³⁵	130	this	kay35	d	277	c831 v130 c564 t017	1214	nort2732		k a j ³⁵	28 1 7 29
413	Tasha_Tujia	tree	kʰa²¹+mɔŋ²¹	kʰ a ²¹ + m ɔ ŋ ²¹	135	tree	kʰa21-mɔŋ21	ab	288 289	c813 v130 t004 c239 v067 c795 t004	906	nort2732	tree tree-mong	kʰ a ²¹ + m ɔ ŋ ²¹	31 1 3 + 8 32 9 11
414	Duogu_Tujia	tree	kʰa²¹+mũ²¹	kʰ a ²¹ + m ũ ∼ ²¹	135	tree	kʰa21-mũ21	ab	288 289	c813 v130 t004 c239 v025 m002 t004	906	nort2732	tree tree-2	kʰ a ²¹ + m ũ ∼ ²¹	31 1 3 + 8 32 9 11
415	Dianfang_Tujia	tree	kʰa²¹+mũ²¹	kʰ a ²¹ + m ũ ∼ ²¹	135	tree	kʰa21-mũ21	ab	288 289	c813 v130 t004 c239 v025 m002 t004	906	nort2732	tree tree-mong	kʰ a ²¹ + m ũ ∼ ²¹	31 1 3 + 8 32 9 11
416	Boluo_Tujia	tree	kʰo¹³+mũ²¹	kʰ o ¹³ + m ũ ∼ ²¹	135	tree	kʰo13-mũ21	ab	288 289	c813 v042 t020 c239 v025 m002 t004	906	sout2739	tree tree-mong	kʰ o ¹³ + m ũ ∼ ²¹	31 1 3 + 8 32 9 11
417	Tanxi_Tujia	tree	kʰo³⁵	kʰ o ³⁵	135	tree	kʰo35 ~ kʰo35-mõ21	a	288	c813 v042 t017	906	sout2739	tree	kʰ o ³⁵	31 1 3
458	Tasha_Tujia	woman	ma²¹+ma⁵⁵	m a ²¹ + m a ⁵⁵	148	woman	ma21-ma55	dd	311 311	c239 v130 t004 c239 v130 t041	962	nort2732	woman ?	m a ²¹ + m a ²¹	8 1 3 + 0 0 0
459	Duogu_Tujia	woman	ma²¹+ma²¹+ʦe⁴⁴	m a ²¹ + m a ²¹ + ts e ⁴⁴	148	woman	ma21-ma21-ce44	dde	311 311 312	c239 v130 t004 c239 v130 t004 c015 v200 t030	962	nort2732	woman woman ?	m a ²¹ + m a ²¹ + ts e ⁴⁴	8 1 3 + 0 0 0 + 33 10 14
460	Dianfang_Tujia	woman	ma²¹+ma²¹+te⁵⁵	m a ²¹ + m a ²¹ + t e ⁵⁵	148	woman	ma21-ma21-te55	dde	311 311 312	c239 v130 t004 c239 v130 t004 c118 v200 t041	962	nort2732	woman woman ?	m a ²¹ + m a ²¹ + t e ⁵⁵	8 1 3 + 0 0 0 + 33 10 14
461	Boluo_Tujia	woman	a¹³+io⁵³+bie²¹	a ¹³ + i o ⁵³ + b i e ²¹	149	woman	a13=io53-bie21	abc	313 314 159	v130 t020 v191 v042 t037 c254 v191 v200 t004	962	sout2739	 ? person	- a ¹³ + - i o ⁵³ + b i e ²¹	4 2 34 + 35 13 1 36 + 21 22 10 11
462	Tanxi_Tujia	woman	ʔa²¹+jio⁵⁵+be²¹+ŋɨ²¹	ʔ a ²¹ + j i o ⁵⁵ + b e ²¹ + ŋ ɨ ²¹	149	woman	ʔa21=yio55-be21-ŋɨ21	abcf	313 314 159 160	c405 v130 t004 c564 v191 v042 t041 c254 v200 t004 c795 v116 t004	962	sout2739	 ? person person-ni	ʔ a ²¹ + j i o ⁵⁵ + b - e ²¹ + ŋ ɨ ²¹	4 2 34 + 35 13 1 36 + 21 22 10 11 + 0 0 0
#@highlight=TOKENS|ALIGNMENT
#@sampa=IPA|TOKENS
#@css=menu:show|database:hide
#@basics=COGID|CONCEPT|DOCULECT|IPA|PARTIALIDS|TOKENS|ALIGNMENT|PATTERNS
#@_selected_doculects=Boluo_Tujia|Dianfang_Tujia|Duogu_Tujia|Tanxi_Tujia|Tasha_Tujia
#@_selected_concepts=bark|leaf|skin|tree
#@sorted_taxa=Boluo_Tujia|Dianfang_Tujia|Duogu_Tujia|Tanxi_Tujia|Tasha_Tujia
#@sorted_concepts=bark|leaf|man|skin|that|this|tree|woman
#@display=filedisplay|ipatterns|patterns
#@missing_marker=Ø
#@separator=
#@gap_marker=-
#@formatter=COGID
#@root_formatter=PARTIALIDS
#@note_formatter=undefined
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=morpheme-glosses.tsv
#@navbar=true
#@_morphology_mode=partial
