ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_CONCEPT	SOURCE_FORM	PARTIAL	PARTIALIDS	CLPA	CONCEPTICON_ID	GLOTTOLOG
48	Boluo_Tujia	breast	dẽ³³+go¹³+lẽ³³	d ẽ ∼ ³³ g o ¹³ l ẽ ∼ ³³	14	breast	dẽ33=go13-lẽ33	abc	35 31 36	c143 v201 m002 t013 c824 v042 t020 c548 v201 m002 t013	1402	sout2739
49	Tanxi_Tujia	breast	ɕiõ⁵⁵+kẽ²¹+ʥiã²¹	ɕ i õ ∼ ⁵⁵ k ẽ ∼ ²¹ dʑ i ã ∼ ²¹	15	breast	ʆiõ55-kẽ21-ʓiã21	hij	37 38 39	c202 v191 v038 m002 t041 c831 v201 m002 t004 c195 v191 v147 m002 t004	1402	sout2739
50	Tasha_Tujia	burn	za²¹	z a ²¹	16	burn tr.	za21	b	40	c078 v130 t004	141	nort2732
51	Duogu_Tujia	burn	ʨiau⁴⁴	tɕ i a u ⁴⁴	17	burn tr.	ɕiau44	a	41	c198 v191 v130 v027 t030	141	nort2732
52	Boluo_Tujia	burn	ʨiaʉ³³	tɕ i a ʉ ³³	17	burn tr.	ɕiaʉ33	a	41	c198 v191 v130 v102 t013	141	sout2739
53	Tasha_Tujia	claw (nail)	kʰu̯ɔ²⁴+tʰa⁵⁵	kʰ w ɔ ²⁴ tʰ a ⁵⁵	18	claw(nail)	kʰu̯ɔ24-tʰa55	cd	42 43	c813 c457 v067 t008 c136 v130 t041	2128	nort2732
54	Duogu_Tujia	claw (nail)	kʰo⁵³+tʰa⁵³	kʰ o ⁵³ tʰ a ⁵³	18	claw(nail)	kʰo53-tʰa53	ce	42 44	c813 v042 t037 c136 v130 t037	2128	nort2732
55	Dianfang_Tujia	claw (nail)	kʰo⁵⁵+tʰa⁵⁵	kʰ o ⁵⁵ tʰ a ⁵⁵	18	claw(nail)	kʰo55-tʰa55	ce	42 44	c813 v042 t041 c136 v130 t041	2128	nort2732
56	Boluo_Tujia	claw (nail)	ʥie⁵³+mũ²¹+ko²¹+lo²¹	dʑ i e ⁵³ m ũ ∼ ²¹ k o ²¹ l o ²¹	18	claw(nail)	ʓie53=mũ21=ko21-lo21	abcd	45 46 42 43	c195 v191 v200 t037 c239 v025 m002 t004 c831 v042 t004 c548 v042 t004	2128	sout2739
57	Tanxi_Tujia	claw (nail)	ʥe⁵⁵+mo⁵⁵+kʰo²¹	dʑ e ⁵⁵ m o ⁵⁵ kʰ o ²¹	18	claw(nail)	ʓe55=mo55=kʰo21	abc	45 46 42	c195 v200 t041 c239 v042 t041 c813 v042 t004	2128	sout2739
58	Tasha_Tujia	cloud	me²⁴+la⁵⁵+ɔŋ²¹	m e ²⁴ l a ⁵⁵ ɔ ŋ ²¹	19	cloud	me24=la55-ɔŋ21	cde	47 48 49	c239 v200 t008 c548 v130 t041 v067 c795 t004	1489	nort2732
59	Dianfang_Tujia	cloud	mɨe³⁵+la⁵⁵+ɣũ²¹	m ɨ e ³⁵ l a ⁵⁵ ɣ ũ ∼ ²¹	19	cloud	mɨe35=la55-ɣũ21	cde	47 48 49	c239 v116 v200 t017 c548 v130 t041 c774 v025 m002 t004	1489	nort2732
60	Boluo_Tujia	cloud	jẽ²¹+doʉ³³	j ẽ ∼ ²¹ d o ʉ ³³	-167	cloud	yẽ21-doʉ33	ab	50 51	c564 v201 m002 t004 c143 v042 v102 t013	1489	sout2739
61	Tanxi_Tujia	cloud	jüẽ³³	j y ẽ ∼ ³³	-168	cloud	yüẽ33	a	50	c564 v166 v201 m002 t013	1489	sout2739
62	Tasha_Tujia	cold	sa²¹	s a ²¹	20	cold	sa21	c	52	c087 v130 t004	1287	nort2732
63	Duogu_Tujia	cold	sa⁵³	s a ⁵³	20	cold	sa53	c	52	c087 v130 t037	1287	nort2732
64	Dianfang_Tujia	cold	sa⁵⁵	s a ⁵⁵	20	cold	sa55	c	52	c087 v130 t041	1287	nort2732
65	Boluo_Tujia	cold	si²¹+ʣa²¹	s i ²¹ dz a ²¹	21	cold	si21-ʒa21	ab	53 54	c087 v191 t004 c020 v130 t004	1287	sout2739
66	Tanxi_Tujia	cold	si²¹+ʣa¹³	s i ²¹ dz a ¹³	21	cold	si21-ʒa13	ab	53 54	c087 v191 t004 c020 v130 t020	1287	sout2739
67	Tasha_Tujia	come	ɤŋ²¹+ʨi̯u²¹	ɤ ŋ ²¹ tɕ j u ²¹	22	come	ɤŋ21-ɕi̯u21	cb	55 56	v084 c795 t004 c198 c564 v027 t004	1446	nort2732
68	Duogu_Tujia	come	ẽ²¹+ʦi²¹	ẽ ∼ ²¹ ts i ²¹	22	come	ẽ21-ci21	cb	55 56	v201 m002 t004 c015 v191 t004	1446	nort2732
69	Dianfang_Tujia	come	ẽ²¹+ʦi²¹	ẽ ∼ ²¹ ts i ²¹	22	come	ẽ21-ci21 ~ ẽ21-ɕʰe35	cb	55 56	v201 m002 t004 c015 v191 t004	1446	nort2732
70	Boluo_Tujia	come	ɣɨ²¹+dɨ⁵³	ɣ ɨ ²¹ d ɨ ⁵³	22	come	ɣɨ21-dɨ53	ab	57 56	c774 v116 t004 c143 v116 t037	1446	sout2739
71	Tanxi_Tujia	come	ʔɨ¹³+dɨ⁵⁵	ʔ ɨ ¹³ d ɨ ⁵⁵	22	come	ʔɨ13-dɨ55	ab	57 56	c405 v116 t020 c143 v116 t041	1446	sout2739
72	Tasha_Tujia	die	sɤ²⁴	s ɤ ²⁴	23	die	sɤ24	a	58	c087 v084 t008	1494	nort2732
73	Duogu_Tujia	die	se²⁴	s e ²⁴	23	die	se24	a	58	c087 v200 t008	1494	nort2732
74	Dianfang_Tujia	die	se³⁵	s e ³⁵	23	die	se35	a	58	c087 v200 t017	1494	nort2732
75	Boluo_Tujia	die	se²¹	s e ²¹	23	die	se21	a	58	c087 v200 t004	1494	sout2739
76	Tanxi_Tujia	die	se²¹	s e ²¹	23	die	se21	a	58	c087 v200 t004	1494	sout2739
77	Tasha_Tujia	dog	xa²¹+li̯ɛ²¹	x a ²¹ l j ɛ ²¹	24	dog	xa21-li̯ɛ21	bc	59 60	c772 v130 t004 c548 c564 v229 t004	2009	nort2732
78	Duogu_Tujia	dog	xa⁵³+lie²¹	x a ⁵³ l i e ²¹	24	dog	xa53-lie21	bc	59 60	c772 v130 t037 c548 v191 v200 t004	2009	nort2732
79	Dianfang_Tujia	dog	xa⁵⁵+le²¹	x a ⁵⁵ l e ²¹	24	dog	xa55-le21	bc	59 60	c772 v130 t041 c548 v200 t004	2009	nort2732
80	Boluo_Tujia	dog	ʦʰe⁵³	tsʰ e ⁵³	25	dog	cʰe53	a	61	c013 v200 t037	2009	sout2739
81	Tanxi_Tujia	dog	ʦʰe⁵⁵	tsʰ e ⁵⁵	25	dog	cʰe55	a	61	c013 v200 t041	2009	sout2739
82	Tasha_Tujia	drink	xu²¹	x u ²¹	26	drink	xu21	b	62	c772 v027 t004	1401	nort2732
83	Duogu_Tujia	drink	xu²¹	x u ²¹	26	drink	xu21	b	62	c772 v027 t004	1401	nort2732
84	Dianfang_Tujia	drink	xu²¹	x u ²¹	26	drink	xu21	b	62	c772 v027 t004	1401	nort2732
85	Boluo_Tujia	drink	ʣoʉ³³	dz o ʉ ³³	27	drink	ʒoʉ33	a	63	c020 v042 v102 t013	1401	sout2739
86	Tanxi_Tujia	drink	ʣʉ³³	dz ʉ ³³	27	drink	ʒʉ33	a	63	c020 v102 t013	1401	sout2739
87	Tasha_Tujia	dry	ka²¹	k a ²¹	28	dry	ka21	a	64	c831 v130 t004	1398	nort2732
88	Duogu_Tujia	dry	a⁵³+ka²¹	a ⁵³ k a ²¹	28	dry	a53=ka21	ba	65 64	v130 t037 c831 v130 t004	1398	nort2732
89	Dianfang_Tujia	dry	ka²¹	k a ²¹	28	dry	ka21 ~ a55=ka21	a	64	c831 v130 t004	1398	nort2732
90	Boluo_Tujia	dry	go¹³	g o ¹³	28	dry	go13	a	64	c824 v042 t020	1398	sout2739
91	Tanxi_Tujia	dry	go⁵⁵	g o ⁵⁵	28	dry	go55	a	64	c824 v042 t041	1398	sout2739
92	Tasha_Tujia	ear	ɤŋ²¹+ʨʰi̯ɛ²⁴	ɤ ŋ ²¹ tɕʰ j ɛ ²⁴	29	ear	ɤŋ21-ɕʰi̯ɛ24	cd	66 67	v084 c795 t004 c197 c564 v229 t008	1247	nort2732
93	Duogu_Tujia	ear	ũ²¹+ʨʰie⁴⁴	ũ ∼ ²¹ tɕʰ i e ⁴⁴	29	ear	ũ21-ɕʰie44	cd	66 67	v025 m002 t004 c197 v191 v200 t030	1247	nort2732
94	Dianfang_Tujia	ear	ẽ²¹+ʨʰe³⁵	ẽ ∼ ²¹ tɕʰ e ³⁵	29	ear	ẽ21-ɕʰe35 ~ ũ21-ɕʰe35	cd	66 67	v201 m002 t004 c197 v200 t017	1247	nort2732
95	Boluo_Tujia	ear	ʦa²¹+po⁵³	ts a ²¹ p o ⁵³	30	ear	ca21-po53	ab	68 69	c015 v130 t004 c288 v042 t037	1247	sout2739
96	Tanxi_Tujia	ear	ʦã²¹+pʉ⁵⁵	ts ã ∼ ²¹ p ʉ ⁵⁵	30	ear	cã21-pʉ55	ab	68 69	c015 v147 m002 t004 c288 v102 t041	1247	sout2739
97	Tasha_Tujia	earth	zu̯ɔ²¹	z w ɔ ²¹	31	earth	zu̯ɔ21	a	70	c078 c457 v067 t004	1228	nort2732
98	Duogu_Tujia	earth	zo⁵³	z o ⁵³	31	earth	zo53	a	70	c078 v042 t037	1228	nort2732
99	Dianfang_Tujia	earth	zo⁵⁵	z o ⁵⁵	31	earth	zo55	a	70	c078 v042 t041	1228	nort2732
100	Boluo_Tujia	earth	za⁵³	z a ⁵³	31	earth	za53	a	70	c078 v130 t037	1228	sout2739
101	Tanxi_Tujia	earth	za⁵⁵	z a ⁵⁵	31	earth	za55	a	70	c078 v130 t041	1228	sout2739
102	Tasha_Tujia	eat	ka²⁴	k a ²⁴	32	eat	ka24	b	71	c831 v130 t008	1336	nort2732
103	Duogu_Tujia	eat	ka²⁴	k a ²⁴	32	eat	ka24	b	71	c831 v130 t008	1336	nort2732
104	Dianfang_Tujia	eat	ka³⁵	k a ³⁵	32	eat	ka35	b	71	c831 v130 t017	1336	nort2732
105	Boluo_Tujia	eat	ɣɨe¹³	ɣ ɨ e ¹³	33	eat	ɣɨe13	a	72	c774 v116 v200 t020	1336	sout2739
106	Tanxi_Tujia	eat	ɣɨe³⁵	ɣ ɨ e ³⁵	33	eat	ɣɨe35	a	72	c774 v116 v200 t017	1336	sout2739
107	Tasha_Tujia	egg	a⁵⁵+li̯ɛ⁵⁵	a ⁵⁵ l j ɛ ⁵⁵	34	egg	a55=li̯ɛ55	cd	73 74	v130 t041 c548 c564 v229 t041	744	nort2732
108	Dianfang_Tujia	egg	a⁵⁵+le⁵⁵	a ⁵⁵ l e ⁵⁵	34	egg	a55=le55	cd	73 74	v130 t041 c548 v200 t041	744	nort2732
109	Boluo_Tujia	egg	si²¹+ŋɨe²¹+a¹³+lɨe⁵³	s i ²¹ ŋ ɨ e ²¹ a ¹³ l ɨ e ⁵³	34	egg	si21=ŋɨe21=a13=lɨe53	abcd	75 76 73 74	c087 v191 t004 c795 v116 v200 t004 v130 t020 c548 v116 v200 t037	744	sout2739
110	Tanxi_Tujia	egg	ʔa²¹+le⁵⁵	ʔ a ²¹ l e ⁵⁵	34	egg	ʔa21=le55	cd	73 74	c405 v130 t004 c548 v200 t041	744	sout2739
111	Tasha_Tujia	eye	lu̯ɔ²⁴+pu⁵⁵	l w ɔ ²⁴ p u ⁵⁵	35	eye	lu̯ɔ24-pu55	cb	77 78	c548 c457 v067 t008 c288 v027 t041	1248	nort2732
112	Duogu_Tujia	eye	lo²⁴+pu⁴⁴	l o ²⁴ p u ⁴⁴	35	eye	lo24-pu44	bc	78 77	c548 v042 t008 c288 v027 t030	1248	nort2732
113	Dianfang_Tujia	eye	lo³⁵+pu³⁵	l o ³⁵ p u ³⁵	35	eye	lo35-pu35	bc	78 77	c548 v042 t017 c288 v027 t017	1248	nort2732
114	Boluo_Tujia	eye	a²¹+la⁵³	a ²¹ l a ⁵³	35	eye	a21=la53	ab	79 78	v130 t004 c548 v130 t037	1248	sout2739
115	Tanxi_Tujia	eye	ʔa²¹+la⁵⁵	ʔ a ²¹ l a ⁵⁵	35	eye	ʔa21=la55	ab	79 78	c405 v130 t004 c548 v130 t041	1248	sout2739
468	Duogu_Tujia	far	ɣɨe²¹	ɣ ɨ e ²¹	152	far	ɣɨe21	c	321	c774 v116 v200 t004	1406	nort2732
469	Dianfang_Tujia	far	ɣɨe²¹	ɣ ɨ e ²¹	152	far	ɣɨe21	c	321	c774 v116 v200 t004	1406	nort2732
470	Boluo_Tujia	far	ɣoʉ²¹+i⁵³	ɣ o ʉ ²¹ i ⁵³	153	far	ɣoʉ21=i53	ab	322 323	c774 v042 v102 t004 v191 t037	1406	sout2739
471	Tanxi_Tujia	far	ʔʉ¹³+ji⁵⁵	ʔ ʉ ¹³ j i ⁵⁵	153	far	ʔʉ13=yi55	ab	322 323	c405 v102 t020 c564 v191 t041	1406	sout2739
116	Tasha_Tujia	feather	si²⁴+ka²¹	s i ²⁴ k a ²¹	36	feather	si24-ka21	cd	80 81	c087 v191 t008 c831 v130 t004	1201	nort2732
117	Duogu_Tujia	feather	ʨi²⁴+ka⁴⁴	tɕ i ²⁴ k a ⁴⁴	36	feather	ɕi24-ka44	cd	80 81	c198 v191 t008 c831 v130 t030	1201	nort2732
118	Boluo_Tujia	feather	a³³+so³³	a ³³ s o ³³	37	feather	a33-so33	ab	82 83	v130 t013 c087 v042 t013	1201	sout2739
119	Tasha_Tujia	fire	mi²¹	m i ²¹	38	fire	mi21	a	84	c239 v191 t004	221	nort2732
120	Duogu_Tujia	fire	mi⁵³	m i ⁵³	38	fire	mi53	a	84	c239 v191 t037	221	nort2732
121	Dianfang_Tujia	fire	mi⁵⁵	m i ⁵⁵	38	fire	mi55	a	84	c239 v191 t041	221	nort2732
122	Boluo_Tujia	fire	mi⁵³	m i ⁵³	38	fire	mi53	a	84	c239 v191 t037	221	sout2739
123	Tanxi_Tujia	fire	mi⁵⁵	m i ⁵⁵	38	fire	mi55	a	84	c239 v191 t041	221	sout2739
124	Tasha_Tujia	fish	sɔŋ²⁴	s ɔ ŋ ²⁴	39	fish	sɔŋ24	c	85	c087 v067 c795 t008	227	nort2732
125	Duogu_Tujia	fish	sũ²⁴	s ũ ∼ ²⁴	39	fish	sũ24	c	85	c087 v025 m002 t008	227	nort2732
126	Dianfang_Tujia	fish	sũ³⁵	s ũ ∼ ³⁵	39	fish	sũ35	c	85	c087 v025 m002 t017	227	nort2732
127	Boluo_Tujia	fish	si²¹+ŋe²¹	s i ²¹ ŋ e ²¹	40	fish	si21=ŋe21 ~ si21=ŋɨy21	ab	86 87	c087 v191 t004 c795 v200 t004	227	sout2739
128	Tanxi_Tujia	fish	si²¹+ŋɨ²¹	s i ²¹ ŋ ɨ ²¹	40	fish	si21=ŋɨ21	ab	86 87	c087 v191 t004 c795 v116 t004	227	sout2739
129	Tasha_Tujia	fly	za²⁴	z a ²⁴	41	fly v.	za24	c	88	c078 v130 t008	1441	nort2732
130	Duogu_Tujia	fly	za⁵³	z a ⁵³	41	fly v.	za53	c	88	c078 v130 t037	1441	nort2732
131	Dianfang_Tujia	fly	za⁵⁵	z a ⁵⁵	41	fly v.	za55	c	88	c078 v130 t041	1441	nort2732
132	Boluo_Tujia	fly	mu³³+ʥi³³	m u ³³ dʑ i ³³	42	fly v.	mu33-ʓi33	ab	89 90	c239 v027 t013 c195 v191 t013	1441	sout2739
133	Tanxi_Tujia	fly	mu³³+ʣi³³	m u ³³ dz i ³³	42	fly v.	mu33-ʒi33	ab	89 90	c239 v027 t013 c020 v191 t013	1441	sout2739
134	Tasha_Tujia	foot	ʨi²¹	tɕ i ²¹	43	foot	ɕi21	b	91	c198 v191 t004	1301	nort2732
135	Duogu_Tujia	foot	ʨi²¹+pʰa²¹	tɕ i ²¹ pʰ a ²¹	43	foot	ɕi21-pʰa21	bc	91 92	c198 v191 t004 c261 v130 t004	1301	nort2732
136	Dianfang_Tujia	foot	ʨi²¹	tɕ i ²¹	43	foot	ɕi21	b	91	c198 v191 t004	1301	nort2732
137	Boluo_Tujia	foot	a³³+ʥi¹³	a ³³ dʑ i ¹³	43	foot	a33=ʓi13	ab	93 91	v130 t013 c195 v191 t020	1301	sout2739
138	Tanxi_Tujia	foot	ʔa³³+ʥi³⁵	ʔ a ³³ dʑ i ³⁵	43	foot	ʔa33=ʓi35	ab	93 91	c405 v130 t013 c195 v191 t017	1301	sout2739
139	Duogu_Tujia	full	mã⁵³	m ã ∼ ⁵³	44	full	mã53	a	94	c239 v147 m002 t037	1429	nort2732
140	Dianfang_Tujia	full	mã⁵⁵	m ã ∼ ⁵⁵	44	full	mã55	a	94	c239 v147 m002 t041	1429	nort2732
141	Boluo_Tujia	full	moʉ⁵³	m o ʉ ⁵³	44	full	moʉ53	a	94	c239 v042 v102 t037	1429	sout2739
142	Tanxi_Tujia	full	mʉ³³	m ʉ ³³	44	full	mʉ33	a	94	c239 v102 t013	1429	sout2739
143	Tasha_Tujia	give	li̯ɛ²⁴	l j ɛ ²⁴	45	give	li̯ɛ24	a	95	c548 c564 v229 t008	1447	nort2732
144	Duogu_Tujia	give	lie²⁴	l i e ²⁴	45	give	lie24	a	95	c548 v191 v200 t008	1447	nort2732
145	Dianfang_Tujia	give	le³⁵	l e ³⁵	45	give	le35	a	95	c548 v200 t017	1447	nort2732
146	Boluo_Tujia	give	lie⁵³	l i e ⁵³	45	give	lie53	a	95	c548 v191 v200 t037	1447	sout2739
147	Tanxi_Tujia	give	le⁵⁵	l e ⁵⁵	45	give	le55	a	95	c548 v200 t041	1447	sout2739
148	Tasha_Tujia	good	ʦʰa²⁴	tsʰ a ²⁴	46	good	cʰa24	a	96	c013 v130 t008	1035	nort2732
149	Duogu_Tujia	good	ʦʰa²⁴	tsʰ a ²⁴	46	good	cʰa24	a	96	c013 v130 t008	1035	nort2732
