ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_CONCEPT	SOURCE_FORM	PARTIAL	PARTIALIDS	CLPA	CONCEPTICON_ID	GLOTTOLOG
188	Tasha_Tujia	I	ŋa²⁴	ŋ a ²⁴	59	I	ŋa24	a	123	c795 v130 t008	1209	nort2732
189	Duogu_Tujia	I	ŋa²⁴	ŋ a ²⁴	59	I	ŋa24	a	123	c795 v130 t008	1209	nort2732
190	Dianfang_Tujia	I	ŋa³⁵	ŋ a ³⁵	59	I	ŋa35	a	123	c795 v130 t017	1209	nort2732
191	Boluo_Tujia	I	ŋo³³	ŋ o ³³	59	I	ŋo33	a	123	c795 v042 t013	1209	sout2739
192	Tanxi_Tujia	I	ŋo³³	ŋ o ³³	59	I	ŋo33	a	123	c795 v042 t013	1209	sout2739
1	Tasha_Tujia	all	xu²⁴+ni⁵⁵	x u ²⁴ n i ⁵⁵	1	all	xu24-ni55	ab	1 2	c772 v027 t008 c105 v191 t041	98	nort2732
2	Duogu_Tujia	all	xu²⁴+ni⁴⁴	x u ²⁴ n i ⁴⁴	1	all	xu24-ni44	ab	1 2	c772 v027 t008 c105 v191 t030	98	nort2732
3	Dianfang_Tujia	all	xu³⁵+ni⁵⁵	x u ³⁵ n i ⁵⁵	1	all	xu35-ni55	ab	1 2	c772 v027 t017 c105 v191 t041	98	nort2732
4	Boluo_Tujia	all	bu¹³+li⁵³	b u ¹³ l i ⁵³	2	all	bu13=li53	cd	3 4	c254 v027 t020 c548 v191 t037	98	sout2739
5	Tanxi_Tujia	all	bu¹³	b u ¹³	2	all	bu13	c	3	c254 v027 t020	98	sout2739
6	Tasha_Tujia	ashes	pu²¹+ʨʰi²⁴	p u ²¹ tɕʰ i ²⁴	3	ashes	pu21=ɕʰi24	cb	5 6	c288 v027 t004 c197 v191 t008	646	nort2732
7	Duogu_Tujia	ashes	pu²¹+ʦʰi⁵³	p u ²¹ tsʰ i ⁵³	3	ashes	pu21=cʰi53	cb	5 6	c288 v027 t004 c013 v191 t037	646	nort2732
8	Dianfang_Tujia	ashes	pu²¹+ʦʰi³⁵	p u ²¹ tsʰ i ³⁵	3	ashes	pu21=cʰi35	cb	5 6	c288 v027 t004 c013 v191 t017	646	nort2732
9	Boluo_Tujia	ashes	mu²¹+ʦʰi⁵³	m u ²¹ tsʰ i ⁵³	3	ashes	mu21=cʰi53	ab	7 6	c239 v027 t004 c013 v191 t037	646	sout2739
10	Tanxi_Tujia	ashes	mu¹³+ʦʰi⁵⁵	m u ¹³ tsʰ i ⁵⁵	3	ashes	mu13=cʰi55	ab	7 6	c239 v027 t020 c013 v191 t041	646	sout2739
11	Tasha_Tujia	bark	kʰa²¹+tʰa²⁴+pʰa²¹	kʰ a ²¹ tʰ a ²⁴ pʰ a ²¹	4	bark	kʰa21=tʰa24-pʰa21	abc	8 9 10	c813 v130 t004 c136 v130 t008 c261 v130 t004	1204	nort2732
12	Tasha_Tujia	belly	mɤ²¹+ʦʰi²¹+kʰɤ⁵⁵	m ɤ ²¹ tsʰ i ²¹ kʰ ɤ ⁵⁵	5	belly	mɤ21-cʰi21-kʰɤ55	abc	11 12 13	c239 v084 t004 c013 v191 t004 c813 v084 t041	1251	nort2732
13	Duogu_Tujia	belly	mɨe²¹	m ɨ e ²¹	5	belly	mɨe21	a	11	c239 v116 v200 t004	1251	nort2732
14	Dianfang_Tujia	belly	mɨe²¹	m ɨ e ²¹	5	belly	mɨe21	a	11	c239 v116 v200 t004	1251	nort2732
15	Boluo_Tujia	belly	mɨe²¹+ʨi⁵³	m ɨ e ²¹ tɕ i ⁵³	5	belly	mɨe21-ɕi53	ab	11 12	c239 v116 v200 t004 c198 v191 t037	1251	sout2739
16	Tanxi_Tujia	belly	mɨe¹³+ʨi⁵⁵	m ɨ e ¹³ tɕ i ⁵⁵	5	belly	mɨe13-ɕi55	ab	11 12	c239 v116 v200 t020 c198 v191 t041	1251	sout2739
17	Tasha_Tujia	big	ʦʰi²¹	tsʰ i ²¹	6	big	cʰi21	a	14	c013 v191 t004	1202	nort2732
18	Duogu_Tujia	big	ʦʰi⁵³	tsʰ i ⁵³	6	big	cʰi53	a	14	c013 v191 t037	1202	nort2732
19	Dianfang_Tujia	big	ʦʰi⁵⁵	tsʰ i ⁵⁵	6	big	cʰi55	a	14	c013 v191 t041	1202	nort2732
20	Boluo_Tujia	big	ʨʰi³³	tɕʰ i ³³	6	big	ɕʰi33	a	14	c197 v191 t013	1202	sout2739
21	Tanxi_Tujia	big	ʨʰi³³	tɕʰ i ³³	6	big	ɕʰi33	a	14	c197 v191 t013	1202	sout2739
22	Tasha_Tujia	bird	ni̯ɛ²⁴+pi⁵⁵	n j ɛ ²⁴ p i ⁵⁵	7	bird	ni̯ɛ24-pi55 ~ ni24-pi55	de	15 16	c105 c564 v229 t008 c288 v191 t041	937	nort2732
23	Duogu_Tujia	bird	nie²¹+pi⁵³	n i e ²¹ p i ⁵³	7	bird	nie21-pi53	de	15 16	c105 v191 v200 t004 c288 v191 t037	937	nort2732
24	Dianfang_Tujia	bird	ne³⁵+pi³⁵	n e ³⁵ p i ³⁵	7	bird	ne35-pi35	de	15 16	c105 v200 t017 c288 v191 t017	937	nort2732
25	Boluo_Tujia	bird	kɨ²¹+ʦo²¹+nũ²¹	k ɨ ²¹ ts o ²¹ n ũ ∼ ²¹	8	bird	kɨ21-co21-nũ21	abc	17 18 19	c831 v116 t004 c015 v042 t004 c105 v025 m002 t004	937	sout2739
26	Tanxi_Tujia	bird	kɨ²¹+ʦo²¹	k ɨ ²¹ ts o ²¹	8	bird	kɨ21-co21	ab	17 18	c831 v116 t004 c015 v042 t004	937	sout2739
27	Tasha_Tujia	bite	ka²⁴	k a ²⁴	9	bite	ka24	a	20	c831 v130 t008	1403	nort2732
28	Duogu_Tujia	bite	ka²⁴	k a ²⁴	9	bite	ka24	a	20	c831 v130 t008	1403	nort2732
29	Boluo_Tujia	bite	go¹³	g o ¹³	9	bite	go13	a	20	c824 v042 t020	1403	sout2739
30	Tasha_Tujia	black	laŋ²⁴+ka⁵⁵	l a ŋ ²⁴ k a ⁵⁵	10	black	laŋ24-ka55	bc	21 22	c548 v130 c795 t008 c831 v130 t041	163	nort2732
31	Duogu_Tujia	black	lã⁴⁴+ka⁴⁴+tie²¹	l ã ∼ ⁴⁴ k a ⁴⁴ t i e ²¹	10	black	lã44-ka44-tie21	bcd	21 22 23	c548 v147 m002 t030 c831 v130 t030 c118 v191 v200 t004	163	nort2732
32	Dianfang_Tujia	black	lã³⁵+ka⁵⁵	l ã ∼ ³⁵ k a ⁵⁵	10	black	lã35-ka55	bc	21 22	c548 v147 m002 t017 c831 v130 t041	163	nort2732
33	Boluo_Tujia	black	no²¹	n o ²¹	10	black	no21	a	24	c105 v042 t004	163	sout2739
34	Tanxi_Tujia	black	lo²¹	l o ²¹	10	black	lo21	b	21	c548 v042 t004	163	sout2739
35	Tasha_Tujia	blood	mi̯ɛ²¹	m j ɛ ²¹	11	blood	mi̯ɛ21	a	25	c239 c564 v229 t004	946	nort2732
36	Duogu_Tujia	blood	mie⁵³	m i e ⁵³	11	blood	mie53	a	25	c239 v191 v200 t037	946	nort2732
37	Dianfang_Tujia	blood	me⁵⁵	m e ⁵⁵	11	blood	me55	a	25	c239 v200 t041	946	nort2732
38	Boluo_Tujia	blood	mie²¹+mie²¹	m i e ²¹ m i e ²¹	11	blood	mie21-mie21	aa	25 25	c239 v191 v200 t004 c239 v191 v200 t004	946	sout2739
39	Tanxi_Tujia	blood	me²¹+me²¹	m e ²¹ m e ²¹	11	blood	me21-me21	aa	25 25	c239 v200 t004 c239 v200 t004	946	sout2739
40	Tasha_Tujia	bone	lu⁵⁵+ka⁵⁵	l u ⁵⁵ k a ⁵⁵	12	bone	lu55-ka55	cd	26 27	c548 v027 t041 c831 v130 t041	1394	nort2732
41	Duogu_Tujia	bone	lu⁴⁴+ka⁴⁴	l u ⁴⁴ k a ⁴⁴	12	bone	lu44-ka44	cd	26 27	c548 v027 t030 c831 v130 t030	1394	nort2732
42	Dianfang_Tujia	bone	lu⁵⁵+ka⁵⁵	l u ⁵⁵ k a ⁵⁵	12	bone	lu55-ka55	cd	26 27	c548 v027 t041 c831 v130 t041	1394	nort2732
43	Boluo_Tujia	bone	kʰa²¹+kʰɨe⁵³	kʰ a ²¹ kʰ ɨ e ⁵³	13	bone	kʰa21-kʰɨe53	ab	28 29	c813 v130 t004 c813 v116 v200 t037	1394	sout2739
44	Tanxi_Tujia	bone	kʰa²¹+kɨ²¹	kʰ a ²¹ k ɨ ²¹	13	bone	kʰa21-kɨ21	ab	28 29	c813 v130 t004 c831 v116 t004	1394	sout2739
45	Tasha_Tujia	breast	li⁵⁵+ku̯ɔ⁵⁵+ʦʰɔŋ⁵⁵	l i ⁵⁵ k w ɔ ⁵⁵ tsʰ ɔ ŋ ⁵⁵	14	breast	li55=ku̯ɔ55-cʰɔŋ55	dbe	30 31 32	c548 v191 t041 c831 c457 v067 t041 c013 v067 c795 t041	1402	nort2732
46	Duogu_Tujia	breast	ɕĩ⁴⁴+tʰã²¹	ɕ ĩ ∼ ⁴⁴ tʰ ã ∼ ²¹	-166	breast	ʆĩ44-tʰã21	fg	33 34	c202 v193 m002 t030 c136 v147 m002 t004	1402	nort2732
47	Dianfang_Tujia	breast	li⁵⁵+kʰo⁵⁵+ʦʰũ⁵⁵	l i ⁵⁵ kʰ o ⁵⁵ tsʰ ũ ∼ ⁵⁵	14	breast	li55=kʰo55-cʰũ55	dbe	30 31 32	c548 v191 t041 c813 v042 t041 c013 v025 m002 t041	1402	nort2732
