# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	WORDINSOURCE	COUNTERPART	IPA	COGID
82	Outgroup_Chechen	belly	4	gay ~ geː {гай ~ гē}	гай ~ гē	gay ~ geː	16
#
83	Nidzh_Udi	big	5	kala {кала}	кала	kala	-508
84	Vartashen_Udi	big	5	kala {кала}	кала	kala	-509
85	Archi	big	5	dˈoːˤz-u-class	dˈoːˤz-u-class	dˈoːˤz-u-class	17
86	Kryts_proper	big	5	bu	bu	bu	18
87	Alyk_Kryts	big	5	buʔu	buʔu	buʔu	18
88	Budukh	big	5	boʕlu {богIлу}	богIлу	boʕlu	18
89	Mishlesh_Tsakhur	big	5	χe-class-n {херна, хедын}	херна, хедын	χe-class-n	19
90	Mikik_Tsakhur	big	5	χe-class-n	χe-class-n	χe-class-n	19
91	Gelmets_Tsakhur	big	5	χˤa-class-nʸ	χˤa-class-nʸ	χˤa-class-nʸ	19
92	Mukhad_Rutul	big	5	qʼux-dɨ ~ qʼux-du {кьухьду}	кьухьду	qʼux-dɨ ~ qʼux-du	20
93	Ixrek_Rutul	big	5	qˤač-dɨ {хъаIчды}	хъаIчды	qˤač-dɨ	21
94	Luchek_Rutul	big	5	qʼʷaxʸ-dɨ	qʼʷaxʸ-dɨ	qʼʷaxʸ-dɨ	20
95	Koshan_Aghul	big	5	ʢaba-ni-r	ʢaba-ni-r	ʢaba-ni-r	18
96	Keren_Aghul	big	5	baba-f	baba-f	baba-f	22
97	Gequn_Aghul	big	5	aHa-f	aHa-f	aHa-f	19
98	Fite_Aghul	big	5	aχˤa-t	aχˤa-t	aχˤa-t	19
99	Aghul_proper	big	5	ʜa-f	ʜa-f	ʜa-f	19
100	Northern_Tabasaran	big	5	aχːˤˈi	aχːˤˈi	aχːˤˈi	19
101	Southern_Tabasaran	big	5	aχˤˈu	aχˤˈu	aχˤˈu	19
102	Gyune_Lezgi	big	5	čʼiqˈi	čʼiqˈi	čʼiqˈi	23
103	Outgroup_Chechen	big	5	d=oqqa {доккха}	доккха	d=oqqa	24
#
104	Nidzh_Udi	bird	6	qːuš {къуш}	къуш	qːuš	-510
105	Vartashen_Udi	bird	6	qːuš {къуш}	къуш	qːuš	-511
106	Archi	bird	6	nocʼ	nocʼ	nocʼ	25
107	Kryts_proper	bird	6	qːuš	qːuš	qːuš	-512
108	Alyk_Kryts	bird	6	qːuš	qːuš	qːuš	-513
109	Budukh	bird	6	qːuš {къуш}	къуш	qːuš	-514
110	Mishlesh_Tsakhur	bird	6	šitʼʸ {шитIʹ}	шитIʹ	šitʼʸ	26
111	Mikik_Tsakhur	bird	6	qːuš	qːuš	qːuš	-515
112	Gelmets_Tsakhur	bird	6	qːuš	qːuš	qːuš	-516
113	Mukhad_Rutul	bird	6	naχčir {нахчир}	нахчир	naχčir	-517
114	Ixrek_Rutul	bird	6	šey {шей}	шей	šey	-518
115	Luchek_Rutul	bird	6	šey	šey	šey	-519
116	Koshan_Aghul	bird	6	ǯaqʼʷ	ǯaqʼʷ	ǯaqʼʷ	27
117	Gequn_Aghul	bird	6	naχšir	naχšir	naχšir	-520
118	Aghul_proper	bird	6	qːuš	qːuš	qːuš	-521
119	Gyune_Lezgi	bird	6	qːuš	qːuš	qːuš	-522
120	Outgroup_Chechen	bird	6	olxazar {олхазар}	олхазар	olxazar	28
#
121	Nidzh_Udi	bite	7	kašˤ-p-sun {кашIпсун}	кашIпсун	kašˤ-p-sun	29
122	Vartashen_Udi	bite	7	kašˤ-p-sun {кашIпсун}	кашIпсун	kašˤ-p-sun	29
123	Archi	bite	7	=|eq"":a-	=|eq"":a-	=|eq"":a-	30
124	Kryts_proper	bite	7	kʼɨs-	kʼɨs-	kʼɨs-	31
125	Alyk_Kryts	bite	7	kʼis-	kʼis-	kʼis-	31
126	Budukh	bite	7	kʼusu- {кIусу-}	кIусу-	kʼusu-	31
127	Mishlesh_Tsakhur	bite	7	acʼ=akʼʷan- {ацIакIван-}	ацIакIван-	acʼ=akʼʷan-	33
128	Mikik_Tsakhur	bite	7	acʼ=akʼʷan-	acʼ=akʼʷan-	acʼ=akʼʷan-	33
129	Gelmets_Tsakhur	bite	7	acʼ=okʼon-	acʼ=okʼon-	acʼ=okʼon-	33
130	Mukhad_Rutul	bite	7	sɨs aʔ- {сыс ваъас}	сыс ваъас	sɨs aʔ-	34
131	Ixrek_Rutul	bite	7	sɨs haʔ- {сыс гьаькьын}	сыс гьаькьын	sɨs haʔ-	34
132	Luchek_Rutul	bite	7	sɨs aʔ-	sɨs aʔ-	sɨs aʔ-	34
133	Koshan_Aghul	bite	7	qʼacʼay-kʼi-	qʼacʼay-kʼi-	qʼacʼay-kʼi-	35
134	Keren_Aghul	bite	7	qʼacʼi-kʼa-	qʼacʼi-kʼa-	qʼacʼi-kʼa-	35
135	Aghul_proper	bite	7	qʼacʼi-kʼa-	qʼacʼi-kʼa-	qʼacʼi-kʼa-	35
136	Northern_Tabasaran	bite	7	qʼacʼ-ˈar ˈax-	qʼacʼ-ˈar ˈax-	qʼacʼ-ˈar ˈax-	35
137	Southern_Tabasaran	bite	7	qʼacʼ apʼ-	qʼacʼ apʼ-	qʼacʼ apʼ-	35
138	Gyune_Lezgi	bite	7	kʼˈas-	kʼˈas-	kʼˈas-	31
139	Outgroup_Chechen	bite	7	cerg-aš y=oxka {цергаш йохка}	цергаш йохка	cerg-aš y=oxka	36
140	Kryts_proper	bite	7	kʼɨp-	kʼɨp-	kʼɨp-	32
#
141	Nidzh_Udi	black	8	maˤyi-n {маъйиън}	маъйиън	maˤyi-n	37
142	Vartashen_Udi	black	8	maˤi-n {маъиън}	маъиън	maˤi-n	37
143	Archi	black	8	beχːˤˈe-tːu-class	beχːˤˈe-tːu-class	beχːˤˈe-tːu-class	38
144	Kryts_proper	black	8	läħä	läħä	läħä	38
145	Alyk_Kryts	black	8	leha	leha	leha	38
146	Budukh	black	8	laʕa {лагIа}	лагIа	laʕa	38
147	Mishlesh_Tsakhur	black	8	kʼarɨ-n {кIарын}	кIарын	kʼarɨ-n	39
148	Mikik_Tsakhur	black	8	kʼaːrɨ-n	kʼaːrɨ-n	kʼaːrɨ-n	39
149	Gelmets_Tsakhur	black	8	kʼarɨ-nʸ	kʼarɨ-nʸ	kʼarɨ-nʸ	39
150	Mukhad_Rutul	black	8	lɨχˤ-dɨ {лыIхды}	лыIхды	lɨχˤ-dɨ	38
151	Ixrek_Rutul	black	8	lɨχˤ-dɨ {лыIхды}	лыIхды	lɨχˤ-dɨ	38
152	Luchek_Rutul	black	8	lɨχˤ-dɨ	lɨχˤ-dɨ	lɨχˤ-dɨ	38
153	Koshan_Aghul	black	8	kʼere-r	kʼere-r	kʼere-r	39
154	Keren_Aghul	black	8	kʼare-f	kʼare-f	kʼare-f	39
155	Gequn_Aghul	black	8	kʼare-f	kʼare-f	kʼare-f	39
156	Fite_Aghul	black	8	kʼari-t	kʼari-t	kʼari-t	39
157	Aghul_proper	black	8	kʼare-f	kʼare-f	kʼare-f	39
158	Northern_Tabasaran	black	8	kʼarˈi	kʼarˈi	kʼarˈi	39
159	Southern_Tabasaran	black	8	kʼarˈu	kʼarˈu	kʼarˈu	39
160	Gyune_Lezgi	black	8	čʼulˈaw	čʼulˈaw	čʼulˈaw	40
161	Outgroup_Chechen	black	8	ʕärž-a {Iаьржа}	Iаьржа	ʕärž-a	40
#
162	Nidzh_Udi	blood	9	pːi {пIи}	пIи	pːi	41
163	Vartashen_Udi	blood	9	pːi {пIи}	пIи	pːi	41
164	Archi	blood	9	bi	bi	bi	41
165	Kryts_proper	blood	9	irä-ǯ	irä-ǯ	irä-ǯ	42
166	Alyk_Kryts	blood	9	ira-ǯ	ira-ǯ	ira-ǯ	42
167	Budukh	blood	9	ir-d {ирд}	ирд	ir-d	42
168	Mishlesh_Tsakhur	blood	9	e-b {эб}	эб	e-b	43
169	Mikik_Tsakhur	blood	9	e-b	e-b	e-b	43
170	Gelmets_Tsakhur	blood	9	e-bi	e-bi	e-bi	43
171	Mukhad_Rutul	blood	9	e-bir ~ ä-bir {эбир ~ аьбир}	эбир ~ аьбир	e-bir ~ ä-bir	43
172	Ixrek_Rutul	blood	9	e-bɨr {эбыр}	эбыр	e-bɨr	43
173	Luchek_Rutul	blood	9	e-bɨr	e-bɨr	e-bɨr	43
174	Koshan_Aghul	blood	9	i	i	i	43
175	Keren_Aghul	blood	9	iʔ	iʔ	iʔ	43
176	Gequn_Aghul	blood	9	iʔ	iʔ	iʔ	43
177	Fite_Aghul	blood	9	iʔ	iʔ	iʔ	43
178	Aghul_proper	blood	9	iʔ	iʔ	iʔ	43
179	Northern_Tabasaran	blood	9	i-wˈi	i-wˈi	i-wˈi	43
180	Southern_Tabasaran	blood	9	i-fˈi	i-fˈi	i-fˈi	43
181	Gyune_Lezgi	blood	9	i-wˈi	i-wˈi	i-wˈi	43
182	Outgroup_Chechen	blood	9	cʼiy {цIий}	цIий	cʼiy	45
183	Mishlesh_Tsakhur	blood	9	e=b	e=b	e=b	41
184	Mikik_Tsakhur	blood	9	e=b	e=b	e=b	41
185	Gelmets_Tsakhur	blood	9	e=bi	e=bi	e=bi	41
186	Mukhad_Rutul	blood	9	e=bir	e=bir	e=bir	41
187	Ixrek_Rutul	blood	9	e=bɨr	e=bɨr	e=bɨr	41
188	Luchek_Rutul	blood	9	e=bɨr	e=bɨr	e=bɨr	41
189	Northern_Tabasaran	blood	9	i=wˈi	i=wˈi	i=wˈi	44
190	Southern_Tabasaran	blood	9	i=fˈi	i=fˈi	i=fˈi	44
191	Gyune_Lezgi	blood	9	i=wˈi	i=wˈi	i=wˈi	44
#
192	Nidzh_Udi	bone	10	uqːˤen {уъкъеън}	уъкъеън	uqːˤen	46
193	Vartashen_Udi	bone	10	uqːˤen {уъкъеън}	уъкъеън	uqːˤen	46
194	Archi	bone	10	lˈekːi	lˈekːi	lˈekːi	47
195	Kryts_proper	bone	10	kʼäräpʼ	kʼäräpʼ	kʼäräpʼ	48
196	Alyk_Kryts	bone	10	kʼarapʼ	kʼarapʼ	kʼarapʼ	48
197	Budukh	bone	10	kʼerepʼ {кIерепI}	кIерепI	kʼerepʼ	48
198	Mishlesh_Tsakhur	bone	10	barkʼʷ {баркIв}	баркIв	barkʼʷ	49
199	Mikik_Tsakhur	bone	10	barkʼʷ	barkʼʷ	barkʼʷ	49
200	Gelmets_Tsakhur	bone	10	barkʼʷ	barkʼʷ	barkʼʷ	49
201	Mukhad_Rutul	bone	10	qʼɨrɨb {кьырыб}	кьырыб	qʼɨrɨb	48
202	Ixrek_Rutul	bone	10	qʼɨrɨb {кьырыб}	кьырыб	qʼɨrɨb	48
203	Luchek_Rutul	bone	10	qʼɨrɨb	qʼɨrɨb	qʼɨrɨb	48
204	Koshan_Aghul	bone	10	yirkː	yirkː	yirkː	46
205	Keren_Aghul	bone	10	irkː	irkː	irkː	46
206	Gequn_Aghul	bone	10	irkː	irkː	irkː	46
207	Fite_Aghul	bone	10	irkː	irkː	irkː	46
208	Aghul_proper	bone	10	irkː	irkː	irkː	46
209	Northern_Tabasaran	bone	10	yˈirkː-i	yˈirkː-i	yˈirkː-i	46
210	Southern_Tabasaran	bone	10	kʼurˈab	kʼurˈab	kʼurˈab	48
211	Gyune_Lezgi	bone	10	kʼarˈab	kʼarˈab	kʼarˈab	48
212	Outgroup_Chechen	bone	10	däʕaxk {даьIахк}	даьIахк	däʕaxk	46
#
213	Nidzh_Udi	breast	11	šˤaqː {шIаъкъ ~ шаъкъ}	шIаъкъ ~ шаъкъ	šˤaqː	50
214	Vartashen_Udi	breast	11	aqˤ {аъхъ}	аъхъ	aqˤ	51
215	Archi	breast	11	χˈatum	χˈatum	χˈatum	52
216	Kryts_proper	breast	11	maχar	maχar	maχar	53
217	Alyk_Kryts	breast	11	maχar	maχar	maχar	53
218	Budukh	breast	11	maχar {махар}	махар	maχar	53
219	Mishlesh_Tsakhur	breast	11	koksi {кокси}	кокси	koksi	-523
220	Mikik_Tsakhur	breast	11	koksɨ	koksɨ	koksɨ	-524
221	Gelmets_Tsakhur	breast	11	koksɨ	koksɨ	koksɨ	-525
222	Mukhad_Rutul	breast	11	mɨχɨr {мыхыр}	мыхыр	mɨχɨr	53
223	Ixrek_Rutul	breast	11	mɨχɨr {мыхыр}	мыхыр	mɨχɨr	53
224	Luchek_Rutul	breast	11	mɨχɨr	mɨχɨr	mɨχɨr	53
225	Koshan_Aghul	breast	11	muχur	muχur	muχur	53
226	Keren_Aghul	breast	11	muχur	muχur	muχur	53
227	Gequn_Aghul	breast	11	muχur	muχur	muχur	53
228	Fite_Aghul	breast	11	muχur	muχur	muχur	53
229	Aghul_proper	breast	11	muχur	muχur	muχur	53
230	Northern_Tabasaran	breast	11	muχˈur	muχˈur	muχˈur	53
231	Southern_Tabasaran	breast	11	muχˈur	muχˈur	muχˈur	53
232	Gyune_Lezgi	breast	11	χur	χur	χur	53
233	Outgroup_Chechen	breast	11	naːqa {нāкха}	нāкха	naːqa	53
#
234	Nidzh_Udi	burn tr.	12	bokː-b-esun {бокIбесун}	бокIбесун	bokː-b-esun	54
235	Vartashen_Udi	burn tr.	12	bokː-en-b-esun ~ bokː-es-b-esun	bokː-en-b-esun ~ bokː-es-b-esun	bokː-en-b-esun ~ bokː-es-b-esun	54
236	Archi	burn tr.	12	=ˈokːa- ~ =ˈukːa-	=ˈokːa- ~ =ˈukːa-	=ˈokːa- ~ =ˈukːa-	54
237	Kryts_proper	burn tr.	12	uga-	uga-	uga-	54
238	Alyk_Kryts	burn tr.	12	ugu-	ugu-	ugu-	54
239	Budukh	burn tr.	12	s=ugu-r- {сугур-}	сугур-	s=ugu-r-	54
240	Mishlesh_Tsakhur	burn tr.	12	gʸ=oxːʷan-aʔ- {гёххьан-аъ-ас, гёйхьван-ейъ-ас}	гёххьан-аъ-ас, гёйхьван-ейъ-ас	gʸ=oxːʷan-aʔ-	55
241	Mikik_Tsakhur	burn tr.	12	gʸ=oxːan-aʔ-	gʸ=oxːan-aʔ-	gʸ=oxːan-aʔ-	55
242	Gelmets_Tsakhur	burn tr.	12	gʸ=oxːan-aʔ- {гёххьан-аъ-}	гёххьан-аъ-	gʸ=oxːan-aʔ-	55
243	Mukhad_Rutul	burn tr.	12	h=ux-a aʔ- {ъудхьа-ъас}	ъудхьа-ъас	h=ux-a aʔ-	55
244	Ixrek_Rutul	burn tr.	12	h=ux-ä haʔ- {гьудхьаь гьаькьын}	гьудхьаь гьаькьын	h=ux-ä haʔ-	55
245	Luchek_Rutul	burn tr.	12	l=ikʼ-u aʔ-	l=ikʼ-u aʔ-	l=ikʼ-u aʔ-	56
246	Koshan_Aghul	burn tr.	12	uršː-ana-	uršː-ana-	uršː-ana-	57
247	Keren_Aghul	burn tr.	12	ug-a-	ug-a-	ug-a-	54
248	Gequn_Aghul	burn tr.	12	ugʷ-a-	ugʷ-a-	ugʷ-a-	54
249	Aghul_proper	burn tr.	12	ug-a-	ug-a-	ug-a-	54
250	Northern_Tabasaran	burn tr.	12	ug-ˈ	ug-ˈ	ug-ˈ	54
251	Southern_Tabasaran	burn tr.	12	ug-ˈ	ug-ˈ	ug-ˈ	54
252	Gyune_Lezgi	burn tr.	12	kːu-	kːu-	kːu-	54
253	Outgroup_Chechen	burn tr.	12	d=aːg-oː {дāгō}	дāгō	d=aːg-oː	56
#
254	Nidzh_Udi	claw (nail)	13	muχ {мух}	мух	muχ	58
255	Vartashen_Udi	claw (nail)	13	muχ {мух}	мух	muχ	58
256	Archi	claw (nail)	13	ƛʼontʼˈol	ƛʼontʼˈol	ƛʼontʼˈol	59
257	Kryts_proper	claw (nail)	13	mičʼ-ek	mičʼ-ek	mičʼ-ek	60
258	Alyk_Kryts	claw (nail)	13	dirnaχ	dirnaχ	dirnaχ	-526
259	Budukh	claw (nail)	13	dɨrnaʁ {дырнагъ}	дырнагъ	dɨrnaʁ	-527
260	Mishlesh_Tsakhur	claw (nail)	13	xubana {хьубана}	хьубана	xubana	58
261	Mikik_Tsakhur	claw (nail)	13	xɨwna	xɨwna	xɨwna	58
262	Gelmets_Tsakhur	claw (nail)	13	xɨbɨna	xɨbɨna	xɨbɨna	58
263	Mukhad_Rutul	claw (nail)	13	xäb ~ xeb {хьеб}	хьеб	xäb ~ xeb	58
264	Ixrek_Rutul	claw (nail)	13	xeb {хьеб}	хьеб	xeb	58
265	Luchek_Rutul	claw (nail)	13	xeb	xeb	xeb	58
266	Koshan_Aghul	claw (nail)	13	kirk	kirk	kirk	61
267	Keren_Aghul	claw (nail)	13	kirk	kirk	kirk	61
268	Gequn_Aghul	claw (nail)	13	kerkʷ	kerkʷ	kerkʷ	61
269	Fite_Aghul	claw (nail)	13	kirk	kirk	kirk	61
270	Aghul_proper	claw (nail)	13	kirk	kirk	kirk	61
271	Northern_Tabasaran	claw (nail)	13	šaw	šaw	šaw	58
272	Southern_Tabasaran	claw (nail)	13	šib	šib	šib	58
273	Gyune_Lezgi	claw (nail)	13	kek	kek	kek	61
274	Outgroup_Chechen	claw (nail)	13	mʕaːra ~ maʕar {мIāра ~ маIар}	мIāра ~ маIар	mʕaːra ~ maʕar	58
#
275	Nidzh_Udi	cloud	14	aso-y {асой}	асой	aso-y	62
276	Vartashen_Udi	cloud	14	haso {гьасо}	гьасо	haso	62
277	Archi	cloud	14	diɬːʷ-	diɬːʷ-	diɬːʷ-	63
278	Kryts_proper	cloud	14	kʼäbäl	kʼäbäl	kʼäbäl	64
279	Alyk_Kryts	cloud	14	kʼapʼal	kʼapʼal	kʼapʼal	64
280	Budukh	cloud	14	bulut {булут}	булут	bulut	-528
281	Mishlesh_Tsakhur	cloud	14	gɨmɨlʸ {гымылʹ}	гымылʹ	gɨmɨlʸ	65
282	Mikik_Tsakhur	cloud	14	gumulʸ ~ gɨmɨlʸ	gumulʸ ~ gɨmɨlʸ	gumulʸ ~ gɨmɨlʸ	65
283	Gelmets_Tsakhur	cloud	14	gɨmɨlʸ	gɨmɨlʸ	gɨmɨlʸ	65
284	Mukhad_Rutul	cloud	14	gɨbul ~ gɨbɨl {гыбыл}	гыбыл	gɨbul ~ gɨbɨl	65
285	Ixrek_Rutul	cloud	14	gɨbɨl {гыбыл}	гыбыл	gɨbɨl	65
286	Luchek_Rutul	cloud	14	gɨbɨl	gɨbɨl	gɨbɨl	65
287	Koshan_Aghul	cloud	14	qːiri	qːiri	qːiri	-529
288	Keren_Aghul	cloud	14	qːiri	qːiri	qːiri	-530
289	Gequn_Aghul	cloud	14	qːiri	qːiri	qːiri	-531
290	Fite_Aghul	cloud	14	amsar	amsar	amsar	62
291	Aghul_proper	cloud	14	qːiri	qːiri	qːiri	-532
292	Northern_Tabasaran	cloud	14	aˈms-a	aˈms-a	aˈms-a	62
