# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	WORDINSOURCE	COUNTERPART	IPA	COGID
#
899	Nidzh_Udi	I1	42	zu {зу}	зу	zu	182
900	Vartashen_Udi	I1	42	zu {зу}	зу	zu	182
901	Archi	I1	42	zo-n	zo-n	zo-n	182
902	Kryts_proper	I1	42	zɨ-n	zɨ-n	zɨ-n	182
903	Alyk_Kryts	I1	42	zi-n ~ zi	zi-n ~ zi	zi-n ~ zi	182
904	Budukh	I1	42	zɨ-n {зын}	зын	zɨ-n	182
905	Mishlesh_Tsakhur	I1	42	zɨ {зы}	зы	zɨ	182
906	Mikik_Tsakhur	I1	42	zɨ	zɨ	zɨ	182
907	Gelmets_Tsakhur	I1	42	zɨ	zɨ	zɨ	182
908	Mukhad_Rutul	I1	42	zɨ {зы}	зы	zɨ	182
909	Ixrek_Rutul	I1	42	zɨ {зы}	зы	zɨ	182
910	Luchek_Rutul	I1	42	zɨ	zɨ	zɨ	182
911	Koshan_Aghul	I1	42	zu-n	zu-n	zu-n	182
912	Keren_Aghul	I1	42	zu-n	zu-n	zu-n	182
913	Gequn_Aghul	I1	42	zu-n	zu-n	zu-n	182
914	Fite_Aghul	I1	42	zu-n	zu-n	zu-n	182
915	Aghul_proper	I1	42	zu-n	zu-n	zu-n	182
916	Northern_Tabasaran	I1	42	izˈu	izˈu	izˈu	182
917	Southern_Tabasaran	I1	42	uzˈu	uzˈu	uzˈu	182
918	Gyune_Lezgi	I1	42	zu-n	zu-n	zu-n	182
919	Outgroup_Chechen	I1	42	so {со}	со	so	182
#
920	Nidzh_Udi	I2	42	bezi ~ bez {бези ~ без}	бези ~ без	bezi ~ bez	183
921	Vartashen_Udi	I2	42	bezi {бези}	бези	bezi	183
922	Archi	I2	42	class=is	class=is	class=is	183
923	Mishlesh_Tsakhur	I2	42	yiz-ɨn {йизын}	йизын	yiz-ɨn	183
924	Mikik_Tsakhur	I2	42	yiz-ɨn	yiz-ɨn	yiz-ɨn	183
925	Mukhad_Rutul	I2	42	yiz-dɨ	yiz-dɨ	yiz-dɨ	183
926	Ixrek_Rutul	I2	42	yiz-dɨ	yiz-dɨ	yiz-dɨ	183
927	Luchek_Rutul	I2	42	iz-dɨ	iz-dɨ	iz-dɨ	183
928	Koshan_Aghul	I2	42	yaz	yaz	yaz	183
929	Northern_Tabasaran	I2	42	yas	yas	yas	183
930	Southern_Tabasaran	I2	42	yiz	yiz	yiz	183
#
1	Nidzh_Udi	all	1	bütün ~ bütüm	bütün ~ bütüm	bütün ~ bütüm	-487
2	Vartashen_Udi	all	1	bütün ~ bitun	bütün ~ bitun	bütün ~ bitun	-488
3	Archi	all	1	mˈarči	mˈarči	mˈarči	1
4	Kryts_proper	all	1	vari	vari	vari	-489
5	Alyk_Kryts	all	1	girt	girt	girt	-490
6	Budukh	all	1	pitin {питин}	питин	pitin	-491
7	Mishlesh_Tsakhur	all	1	gɨrgɨ-n {гыргын}	гыргын	gɨrgɨ-n	2
8	Mikik_Tsakhur	all	1	gɨrgɨ-n	gɨrgɨ-n	gɨrgɨ-n	2
9	Mukhad_Rutul	all	1	si-ʔin	si-ʔin	si-ʔin	3
10	Ixrek_Rutul	all	1	si-ne-bɨr {синебыр}	синебыр	si-ne-bɨr	3
11	Koshan_Aghul	all	1	wari	wari	wari	-492
12	Keren_Aghul	all	1	wari	wari	wari	-493
13	Gequn_Aghul	all	1	ǯalːa ~ žalːa	ǯalːa ~ žalːa	ǯalːa ~ žalːa	-494
14	Fite_Aghul	all	1	ǯalːa	ǯalːa	ǯalːa	-495
15	Aghul_proper	all	1	ǯalːa	ǯalːa	ǯalːa	-496
16	Northern_Tabasaran	all	1	warˈi ~ warːˈi	warˈi ~ warːˈi	warˈi ~ warːˈi	-497
17	Southern_Tabasaran	all	1	wˈari {вари}	вари	wˈari	-498
18	Gyune_Lezgi	all	1	warˈi	warˈi	warˈi	-499
19	Outgroup_Chechen	all	1	d=err-ig {дерриг}	дерриг	d=err-ig	4
#
20	Nidzh_Udi	ashes	2	žeqː {жекъ}	жекъ	žeqː	5
21	Vartashen_Udi	ashes	2	iqː ~ yeqː {икъ ~ йекъ}	икъ ~ йекъ	iqː ~ yeqː	5
22	Archi	ashes	2	diqʼːˤ-	diqʼːˤ-	diqʼːˤ-	5
23	Kryts_proper	ashes	2	räq	räq	räq	5
24	Alyk_Kryts	ashes	2	raq	raq	raq	5
25	Budukh	ashes	2	req {рехъ}	рехъ	req	5
26	Mishlesh_Tsakhur	ashes	2	yiqˤ- {йиIхъ, йыIхъ}	йиIхъ, йыIхъ	yiqˤ-	5
27	Mikik_Tsakhur	ashes	2	yɨqːˤ-	yɨqːˤ-	yɨqːˤ-	5
28	Gelmets_Tsakhur	ashes	2	yɨqːˤ-	yɨqːˤ-	yɨqːˤ-	5
29	Mukhad_Rutul	ashes	2	rɨqˤ- {рыIхъ}	рыIхъ	rɨqˤ-	5
30	Ixrek_Rutul	ashes	2	rɨqːˤ- {рыIхъ}	рыIхъ	rɨqːˤ-	5
31	Luchek_Rutul	ashes	2	rɨqˤ	rɨqˤ	rɨqˤ	5
32	Koshan_Aghul	ashes	2	ruqːˤ	ruqːˤ	ruqːˤ	5
33	Keren_Aghul	ashes	2	ruqːˤ	ruqːˤ	ruqːˤ	5
34	Gequn_Aghul	ashes	2	rüqːʸ	rüqːʸ	rüqːʸ	5
35	Fite_Aghul	ashes	2	ruqːˤ	ruqːˤ	ruqːˤ	5
36	Aghul_proper	ashes	2	rüqː	rüqː	rüqː	5
37	Northern_Tabasaran	ashes	2	rˈuqːˤ-u	rˈuqːˤ-u	rˈuqːˤ-u	5
38	Southern_Tabasaran	ashes	2	ruqːˤ	ruqːˤ	ruqːˤ	5
39	Gyune_Lezgi	ashes	2	rüq	rüq	rüq	5
40	Outgroup_Chechen	ashes	2	yuqʼ {юкъ}	юкъ	yuqʼ	6
#
41	Nidzh_Udi	bark	3	qˤol {хъоъл}	хъоъл	qˤol	7
42	Vartashen_Udi	bark	3	qˤol {хъоъл}	хъоъл	qˤol	7
43	Archi	bark	3	pˈaqʼut	pˈaqʼut	pˈaqʼut	8
44	Kryts_proper	bark	3	qːabuχ ~ qːabuʁ	qːabuχ ~ qːabuʁ	qːabuχ ~ qːabuʁ	-500
45	Alyk_Kryts	bark	3	qːabuʁ	qːabuʁ	qːabuʁ	-501
46	Budukh	bark	3	qːabuʁ {къабугъ}	къабугъ	qːabuʁ	-502
47	Mishlesh_Tsakhur	bark	3	qʼabɨχ {кьабых}	кьабых	qʼabɨχ	-503
48	Mikik_Tsakhur	bark	3	qʼabɨχ	qʼabɨχ	qʼabɨχ	-504
49	Gelmets_Tsakhur	bark	3	qʼabɨχ	qʼabɨχ	qʼabɨχ	-505
50	Mukhad_Rutul	bark	3	ǯigal {джигал}	джигал	ǯigal	9
51	Ixrek_Rutul	bark	3	ǯigal {джигал}	джигал	ǯigal	9
52	Luchek_Rutul	bark	3	ǯugal	ǯugal	ǯugal	9
53	Koshan_Aghul	bark	3	gal	gal	gal	7
54	Keren_Aghul	bark	3	gužal	gužal	gužal	9
55	Gequn_Aghul	bark	3	qːark	qːark	qːark	10
56	Fite_Aghul	bark	3	qːark	qːark	qːark	10
57	Aghul_proper	bark	3	qːark	qːark	qːark	10
58	Northern_Tabasaran	bark	3	ɣal	ɣal	ɣal	7
59	Southern_Tabasaran	bark	3	ɣal	ɣal	ɣal	7
60	Gyune_Lezgi	bark	3	čikːal	čikːal	čikːal	9
61	Outgroup_Chechen	bark	3	kewst-ig {кевстиг}	кевстиг	kewst-ig	11
#
62	Nidzh_Udi	belly	4	tapan {тапан}	тапан	tapan	12
63	Vartashen_Udi	belly	4	bukun {букун}	букун	bukun	13
64	Archi	belly	4	lˈagi	lˈagi	lˈagi	14
65	Kryts_proper	belly	4	fän	fän	fän	15
66	Alyk_Kryts	belly	4	fan	fan	fan	15
67	Budukh	belly	4	təpən {тапан}	тапан	təpən	12
68	Mishlesh_Tsakhur	belly	4	wuxun {вухьун}	вухьун	wuxun	15
69	Mikik_Tsakhur	belly	4	wuxun ~ wuxɨn	wuxun ~ wuxɨn	wuxun ~ wuxɨn	15
70	Gelmets_Tsakhur	belly	4	uxunʸ	uxunʸ	uxunʸ	15
71	Mukhad_Rutul	belly	4	uxun {ухьун}	ухьун	uxun	15
72	Ixrek_Rutul	belly	4	ämräz {аьмраьз}	аьмраьз	ämräz	-506
73	Luchek_Rutul	belly	4	iči	iči	iči	-507
74	Koshan_Aghul	belly	4	fun	fun	fun	15
75	Keren_Aghul	belly	4	fun	fun	fun	15
76	Gequn_Aghul	belly	4	fun	fun	fun	15
77	Fite_Aghul	belly	4	fun	fun	fun	15
78	Aghul_proper	belly	4	fun	fun	fun	15
79	Northern_Tabasaran	belly	4	fun	fun	fun	15
80	Southern_Tabasaran	belly	4	fun	fun	fun	15
81	Gyune_Lezgi	belly	4	rufˈun	rufˈun	rufˈun	15
