ID	_DOCULECT	_CONCEPTx	IPA	TOKENS	POS	COGID	ID_IN_SOURCE	CHINESE_GLOSS	SOURCE	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE
#
1	Tuoluo	alcohol	t͡sɤŋ₃₃	t͡s ɤ ŋ ₃₃	?	452	452	?	Wang2006a	tsvŋ33	alcoholic beverage
2	Gongxing	alcohol	t͡soŋ₂₂	t͡s o ŋ ₂₂	?	452	452	?	Wang2006a	tsoŋ22	alcoholic beverage
3	Enqi	alcohol	t͡so₂₂	t͡s o ₂₂	?	452	452	?	Wang2006a	tso22	alcoholic beverage
4	Ega	alcohol	t͡sõ₂₂	t͡s õ ₂₂	?	452	452	?	Wang2006a	tsõ22	alcoholic beverage
5	Jinman	alcohol	t͡sŋ₂₂	t͡s ŋ ₂₂	?	452	452	?	Wang2006a	tsŋ22	alcoholic beverage
6	Jinxing	alcohol	t͡sɤ̃₃₃	t͡s ɤ̃ ₃₃	?	452	452	?	Wang2006a	tsṽ33	alcoholic beverage
7	Dashi	alcohol	t͡sõ₃₃	t͡s õ ₃₃	?	452	452	?	Wang2006a	tsõ33	alcoholic beverage
8	Zhoucheng	alcohol	t͡si₃₃	t͡s i ₃₃	?	452	452	?	Wang2006a	tsi33	alcoholic beverage
9	Mazhelong	alcohol	t͡soŋ₃₃	t͡s o ŋ ₃₃	?	452	452	?	Wang2006a	tsoŋ33	alcoholic beverage
10	Jianchuan	alcohol	t͡sɤ̃₃₃	t͡s ɤ̃ ₃₃	?	452	204	酒	Allen2007	tsɤ̃33	alcohol(drink)
11	Eryuan	alcohol	t͡sɤ₃₃	t͡s ɤ ₃₃	?	452	204	酒	Allen2007	tsɤ33	alcohol(drink)
12	Heqi	alcohol	t͡sũɔ̃₃₃	t͡s ũɔ̃ ₃₃	?	452	204	酒	Allen2007	tsũɔ̃33	alcohol(drink)
13	Lanping	alcohol	t͡sõ₄₄	t͡s õ ₄₄	?	452	204	酒	Allen2007	tsõ44	alcohol(drink)
14	Qiliqiao	alcohol	t͡sɿ₃₃	t͡s ɿ ₃₃	?	452	204	酒	Allen2007	tsɿ33	alcohol(drink)
15	Yunlong	alcohol	d͡zɿ₃₃	d͡z ɿ ₃₃	?	452	204	酒	Allen2007	dzɿ33	alcohol(drink)
16	Xiangyun	alcohol	jɛ̃₃₃	j ɛ̃ ₃₃	?	452	204	酒	Allen2007	jɛ̃33	alcohol(drink)
17	Luobenzhuo	alcohol	t͡sõ₃₃	t͡s õ ₃₃	?	452	204	酒	Allen2007	tsõ33	alcohol(drink)
18	Tuoluo	ant	t͡ɕien₅₅ɕaŋ₅₅	t͡ɕ ie n ₅₅ ɕ a ŋ ₅₅	?	365	365	?	Wang2006a	tɕien55(ɕaŋ55)	ant
19	Gongxing	ant	d͡zu₁₂bu₁₂	d͡z u ₁₂ b u ₁₂	?	365	365	?	Wang2006a	dzu12bu12	ant
20	Enqi	ant	t͡su₄₃pɯ₂₁	t͡s u ₄₃ p ɯ ₂₁	?	365	365	?	Wang2006a	tsu43pɯ21	ant
21	Ega	ant	t͡ɕi₂₁pɯ₂₁	t͡ɕ i ₂₁ p ɯ ₂₁	?	365	365	?	Wang2006a	tɕi21pɯ21	ant
22	Jinman	ant	t͡ɕi₂₁pɯ₂₁	t͡ɕ i ₂₁ p ɯ ₂₁	?	365	365	?	Wang2006a	tɕi21pɯ21	ant
23	Jinxing	ant	pien₂₁põ₂₁	p ie n ₂₁ p õ ₂₁	?	365	365	?	Wang2006a	pien21põ21	ant
24	Dashi	ant	pi₂₁po₂₁	p i ₂₁ p o ₂₁	?	365	365	?	Wang2006a	pi21po21	ant
25	Zhoucheng	ant	pi₂₁pɯ₂₁	p i ₂₁ p ɯ ₂₁	?	365	365	?	Wang2006a	pi21pɯ21	ant
26	Mazhelong	ant	pi₅₅pǝɯ₂₁	p i ₅₅ p ǝɯ ₂₁	?	365	365	?	Wang2006a	pi55pǝɯ21	ant
27	Jianchuan	ant	pĩ₂₁po₂₁t͡sɿ₃₃	p ĩ ₂₁ p o ₂₁ t͡s ɿ ₃₃	?	365	74	蚂蚁	Allen2007	pĩ21po21tsɿ33	ant
28	Eryuan	ant	pi₂₁pɯ₃₁	p i ₂₁ p ɯ ₃₁	?	365	74	蚂蚁	Allen2007	pi21pɯ31	ant
29	Heqi	ant	pi₂₁pɯ₂₁t͡sɿ₃₃	p i ₂₁ p ɯ ₂₁ t͡s ɿ ₃₃	?	365	74	蚂蚁	Allen2007	pi21pɯ21tsɿ33	ant
30	Lanping	ant	pi₃₃pao₃₃t͡sɿ₄₄	p i ₃₃ p ao ₃₃ t͡s ɿ ₄₄	?	365	74	蚂蚁	Allen2007	pi33pao33tsɿ44	ant
31	Qiliqiao	ant	pi₂₁pɯ₃₁	p i ₂₁ p ɯ ₃₁	?	365	74	蚂蚁	Allen2007	pi21pɯ31	ant
32	Yunlong	ant	pi₂₁pɯ₃₁	p i ₂₁ p ɯ ₃₁	?	365	74	蚂蚁	Allen2007	pi21pɯ31	ant
33	Xiangyun	ant	pi₂₁pou₂₁t͡sɿ₃₃	p i ₂₁ p ou ₂₁ t͡s ɿ ₃₃	?	365	74	蚂蚁	Allen2007	pi21pou21tsɿ33	ant
34	Luobenzhuo	ant	t͡ɕi₃₁pɯ₂₁	t͡ɕ i ₃₁ p ɯ ₂₁	?	365	74	蚂蚁	Allen2007	tɕi31pɯ21	ant
35	Tuoluo	ask	t͡ʂua₄₂	t͡ʂ ua ₄₂	verb	1708	1708	?	Wang2006a	tʂua42	ask; question
36	Gongxing	ask	t͡ɕuɛ₂₄	t͡ɕ uɛ ₂₄	verb	1708	1708	?	Wang2006a	tɕuɛ24	ask; question
37	Enqi	ask	piæ₅₅	p iæ ₅₅	verb	1708	1708	?	Wang2006a	piæ55	ask; question
38	Ega	ask	t͡ɕya₄₄	t͡ɕ ya ₄₄	verb	1708	1708	?	Wang2006a	tɕya44	ask; question
39	Jinman	ask	t͡ɕua₅₅	t͡ɕ ua ₅₅	verb	1708	1708	?	Wang2006a	tɕua55	ask; question
40	Jinxing	ask	pia₄₄	p ia ₄₄	verb	1708	1708	?	Wang2006a	pia44	ask; question
41	Dashi	ask	piɚ₄₄	p iɚ ₄₄	verb	1708	1708	?	Wang2006a	piɚ44	ask; question
42	Zhoucheng	ask	piɛ₄₄	p iɛ ₄₄	verb	1708	1708	?	Wang2006a	piɛ44	ask; question
43	Mazhelong	ask	piɚ₄₄	p iɚ ₄₄	verb	1708	1708	?	Wang2006a	piɚ44	ask; question
44	Jianchuan	ask	piɛ₄₄	p iɛ ₄₄	verb	1708	334	问	Allen2007	piɛ44	ask
45	Eryuan	ask	piɛ₄₄	p iɛ ₄₄	verb	1708	334	问	Allen2007	piɛ44	ask
46	Heqi	ask	piɛ₄₄	p iɛ ₄₄	verb	1708	334	问	Allen2007	piɛ44	ask
47	Lanping	ask	piɛ₄₄	p iɛ ₄₄	verb	1708	334	问	Allen2007	piɛ44	ask
48	Qiliqiao	ask	piɛ₄₄	p iɛ ₄₄	verb	1708	334	问	Allen2007	piɛ44	ask
49	Yunlong	ask	piɛ₄₄	p iɛ ₄₄	verb	1708	334	问	Allen2007	piɛ44	ask
50	Xiangyun	ask	piɛ₄₄	p iɛ ₄₄	verb	1708	334	问	Allen2007	piɛ44	ask
51	Luobenzhuo	ask	ʧua₄₄	ʧ ua ₄₄	verb	1708	334	问	Allen2007	ʧua44	ask
52	Tuoluo	bad	quɛ₂₁	q uɛ ₂₁	?	1053	1053	?	Wang2006a	quɛ21	bad (things)
53	Gongxing	bad	quɛ₄₂	q uɛ ₄₂	?	1053	1053	?	Wang2006a	quɛ42	bad (things)
54	Enqi	bad	quɛ₄₃	q uɛ ₄₃	?	1053	1053	?	Wang2006a	quE43	bad (things)
55	Ega	bad	quɛ₄₂	q uɛ ₄₂	?	1053	1053	?	Wang2006a	quɛ42	bad (things)
56	Jinman	bad	que₄₂	q ue ₄₂	?	1053	1053	?	Wang2006a	que42	bad (things)
57	Jinxing	bad	kua₄₄	k ua ₄₄	?	1053	1053	?	Wang2006a	kua44	bad (things)
58	Dashi	bad	kue₄₂	k ue ₄₂	?	1053	1053	?	Wang2006a	kue42	bad (things)
59	Mazhelong	bad	kuɛ₄₄	k uɛ ₄₄	?	1053	1053	?	Wang2006a	kuɛ44	bad (things)
60	Jianchuan	bad	xe₄₄	x e ₄₄	?	1053	417	坏	Allen2007	xe44	bad
61	Eryuan	bad	xe₄₄	x e ₄₄	?	1053	417	坏	Allen2007	xe44	bad
62	Heqi	bad	xe₃₃	x e ₃₃	?	1053	417	坏	Allen2007	xe33	bad
63	Lanping	bad	xe₄₄	x e ₄₄	?	1053	417	坏	Allen2007	xe44	bad
64	Qiliqiao	bad	xe₄₄	x e ₄₄	?	1053	417	坏	Allen2007	xe44	bad
65	Yunlong	bad	xɛ₃₃	x ɛ ₃₃	?	1053	417	坏	Allen2007	xɛ33	bad
66	Xiangyun	bad	xɛ₄₄	x ɛ ₄₄	?	1053	417	坏	Allen2007	xɛ44	bad
67	Luobenzhuo	bad	ʈʰɯ₃₃	ʈʰ ɯ ₃₃	?	1053	417	坏	Allen2007	ʈʰɯ33	bad
68	Tuoluo	bamboo	t͡ʂɤ₄₂	t͡ʂ ɤ ₄₂	?	389	389	?	Wang2006a	tʂv42	bamboo
69	Gongxing	bamboo	t͡sao₂₄	t͡s ao ₂₄	?	389	389	?	Wang2006a	tsao24	bamboo
70	Enqi	bamboo	t͡ɕo₅₅	t͡ɕ o ₅₅	?	389	389	?	Wang2006a	tɕo55	bamboo
71	Ega	bamboo	t͡ɕu₄₄	t͡ɕ u ₄₄	?	389	389	?	Wang2006a	tɕu44	bamboo
72	Jinman	bamboo	t͡ɕu₅₅	t͡ɕ u ₅₅	?	389	389	?	Wang2006a	tɕu55	bamboo
73	Jinxing	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	?	389	389	?	Wang2006a	tsv44	bamboo
74	Dashi	bamboo	t͡ʂo₃₃	t͡ʂ o ₃₃	?	389	389	?	Wang2006a	tʂo33	bamboo
75	Zhoucheng	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	?	389	389	?	Wang2006a	tsv44	bamboo
76	Mazhelong	bamboo	t͡su₄₄	t͡s u ₄₄	?	389	389	?	Wang2006a	tsu44	bamboo
77	Jianchuan	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	?	389	92	竹子	Allen2007	tsɤ44	bamboo
78	Eryuan	bamboo	t͡ʂɤ₄₄	t͡ʂ ɤ ₄₄	?	389	92	竹子	Allen2007	tʂɤ44	bamboo
79	Heqi	bamboo	t͡suɔ₄₄	t͡s uɔ ₄₄	?	389	92	竹子	Allen2007	tsuɔ44	bamboo
80	Lanping	bamboo	t͡sao₅₅t͡sɯ₃₃	t͡s ao ₅₅ t͡s ɯ ₃₃	?	389	92	竹子	Allen2007	tsao55tsɯ33	bamboo
81	Qiliqiao	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	?	389	92	竹子	Allen2007	tsɤ44	bamboo
82	Yunlong	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	?	389	92	竹子	Allen2007	tsɤ44	bamboo
83	Xiangyun	bamboo	t͡sɛ₄₄	t͡s ɛ ₄₄	?	389	92	竹子	Allen2007	tsɛ44	bamboo
84	Luobenzhuo	bamboo	t͡ɕo₅₅ɖɯ₃₁	t͡ɕ o ₅₅ ɖ ɯ ₃₁	?	389	92	竹子	Allen2007	tɕo55ɖɯ31	bamboo
85	Tuoluo	bark	ʐo₄₂	ʐ o ₄₂	verb	1438	1438	?	Wang2006a	ʐo42	to bark
86	Gongxing	bark	d͡ʑua₂₁	d͡ʑ ua ₂₁	verb	1438	1438	?	Wang2006a	dʑua21	to bark
87	Enqi	bark	pia₂₁	p ia ₂₁	verb	1438	1438	?	Wang2006a	pia21	to bark
88	Ega	bark	t͡ɕya₂₁	t͡ɕ ya ₂₁	verb	1438	1438	?	Wang2006a	tɕya21	to bark
89	Jinman	bark	t͡ɕua₅₃	t͡ɕ ua ₅₃	verb	1438	1438	?	Wang2006a	tɕua53	to bark
90	Jinxing	bark	pio₄₂	p io ₄₂	verb	1438	1438	?	Wang2006a	pio42	to bark
91	Dashi	bark	pia₄₂	p ia ₄₂	verb	1438	1438	?	Wang2006a	pia42	to bark
92	Zhoucheng	bark	pia₄₂	p ia ₄₂	verb	1438	1438	?	Wang2006a	pia42	to bark
93	Mazhelong	bark	pʰia₄₂	pʰ ia ₄₂	verb	1438	1438	?	Wang2006a	pʰia42	to bark
94	Jianchuan	bark	pia₄₂	p ia ₄₂	verb	1438	382	吠	Allen2007	pia42	bark(of dog)
95	Eryuan	bark	pia₄₂	p ia ₄₂	verb	1438	382	吠	Allen2007	pia42	bark(of dog)
96	Heqi	bark	pia₄₂	p ia ₄₂	verb	1438	382	吠	Allen2007	pia42	bark(of dog)
97	Lanping	bark	pia₄₂	p ia ₄₂	verb	1438	382	吠	Allen2007	pia42	bark(of dog)
98	Qiliqiao	bark	pia₄₂	p ia ₄₂	verb	1438	382	吠	Allen2007	pia42	bark(of dog)
99	Yunlong	bark	pia₄₂	p ia ₄₂	verb	1438	382	吠	Allen2007	pia42	bark(of dog)
100	Xiangyun	bark	pia₄₂	p ia ₄₂	verb	1438	382	吠	Allen2007	pia42	bark(of dog)
101	Luobenzhuo	bark	ʧua₄₄	ʧ ua ₄₄	verb	1438	382	吠	Allen2007	ʧua44	bark(of dog)
102	Tuoluo	barley	zɔ₃₅	z ɔ ₃₅	?	411	411	?	Wang2006a	zɔ35	barley
103	Gongxing	barley	zao₁₂	z ao ₁₂	?	411	411	?	Wang2006a	zao12	barley
104	Enqi	barley	zo₄₃	z o ₄₃	?	411	411	?	Wang2006a	zo43	barley
105	Ega	barley	zo₂₁	z o ₂₁	?	411	411	?	Wang2006a	zo21	barley
106	Jinman	barley	zao₂₁	z ao ₂₁	?	411	411	?	Wang2006a	zao21	barley
107	Jinxing	barley	sou₂₁	s ou ₂₁	?	411	411	?	Wang2006a	sou21	barley
108	Dashi	barley	zau₂₁	z au ₂₁	?	411	411	?	Wang2006a	zau21	barley
109	Zhoucheng	barley	zo₂₁	z o ₂₁	?	411	411	?	Wang2006a	zo21	barley
110	Mazhelong	barley	zo₂₁	z o ₂₁	?	411	411	?	Wang2006a	zo21	barley
111	Jianchuan	barley	me₅₅sou₂₁	m e ₅₅ s ou ₂₁	?	411	95	大麦	Allen2007	me55sou21	barley
112	Eryuan	barley	mi₃₅zɔ₂₁	m i ₃₅ z ɔ ₂₁	?	411	95	大麦	Allen2007	mi35zɔ21	barley
113	Heqi	barley	mi₅₅zɔu₃₁	m i ₅₅ z ɔu ₃₁	?	411	95	大麦	Allen2007	mi55zɔu31	barley
114	Lanping	barley	me₅₅ʐao₂₁	m e ₅₅ ʐ ao ₂₁	?	411	95	大麦	Allen2007	me55ʐao21	barley
115	Qiliqiao	barley	mi₃₅sɔ₂₁	m i ₃₅ s ɔ ₂₁	?	411	95	大麦	Allen2007	mi35sɔ21	barley
116	Yunlong	barley	mi₃₅zɔ₂₁	m i ₃₅ z ɔ ₂₁	?	411	95	大麦	Allen2007	mi35zɔ21	barley
117	Xiangyun	barley	mi₃₅zo₂₁	m i ₃₅ z o ₂₁	?	411	95	大麦	Allen2007	mi35zo21	barley
118	Luobenzhuo	barley	mɯ̃₅₅ʐao₃₁	m ɯ̃ ₅₅ ʐ ao ₃₁	?	411	95	大麦	Allen2007	mɯ̃55ʐao31	barley
119	Tuoluo	bed	dioŋ₃₅	d io ŋ ₃₅	?	526	526	?	Wang2006a	dioŋ35	bed
120	Gongxing	bed	d͡zoŋ₁₂	d͡z o ŋ ₁₂	?	526	526	?	Wang2006a	dzoŋ12	bed
121	Enqi	bed	tio₂₁	t io ₂₁	?	526	526	?	Wang2006a	tio21	bed
122	Ega	bed	ŋu₂₂ti₂₂t͡ɕʰu₄₂qʰa₄₄	ŋ u ₂₂ t i ₂₂ t͡ɕʰ u ₄₂ qʰ a ₄₄	?	526	526	?	Wang2006a	(ŋu22ti22tɕʰu42qʰa44)	bed
123	Jinman	bed	ũ₄₂fi₂₂t͡ɕʰu₄₂	ũ ₄₂ f i ₂₂ t͡ɕʰ u ₄₂	?	526	526	?	Wang2006a	(ũ42fi22tɕʰu42)	bed
124	Jinxing	bed	t͡sõ₂₁	t͡s õ ₂₁	?	526	526	?	Wang2006a	tsõ21	bed
125	Dashi	bed	kʰo₃₃	kʰ o ₃₃	?	526	526	?	Wang2006a	(kʰo33)	bed
126	Zhoucheng	bed	t͡so₂₁	t͡s o ₂₁	?	526	526	?	Wang2006a	tso21	bed
127	Mazhelong	bed	t͡ɕʰyi₂₁	t͡ɕʰ yi ₂₁	?	526	526	?	Wang2006a	(tɕʰyi21)	bed
128	Jianchuan	bed	t͡sõũ₂₁	t͡s õũ ₂₁	?	526	226	床	Allen2007	tsõũ21	bed
129	Eryuan	bed	t͡ʂɔ₃₁	t͡ʂ ɔ ₃₁	?	526	226	床	Allen2007	tʂɔ31	bed
130	Heqi	bed	t͡sɔ̃ũ₂₁	t͡s ɔ̃ũ ₂₁	?	526	226	床	Allen2007	tsɔ̃ũ21	bed
131	Lanping	bed	t͡sɔ₃₃	t͡s ɔ ₃₃	?	526	226	床	Allen2007	tsɔ33	bed
132	Qiliqiao	bed	t͡so₂₁	t͡s o ₂₁	?	526	226	床	Allen2007	tso21	bed
133	Yunlong	bed	kʰɤ₃₁	kʰ ɤ ₃₁	?	526	226	床	Allen2007	kʰɤ31	bed
134	Xiangyun	bed	pʰẽ₃₁	pʰ ẽ ₃₁	?	526	226	床	Allen2007	pʰẽ31	bed
135	Luobenzhuo	bed	ɴ̣₃₃tĩ₃₃ʧʰʊ₃₁qʰã₄₂	ɴ̣ ₃₃ t ĩ ₃₃ ʧʰ ʊ ₃₁ qʰ ã ₄₂	?	526	226	床	Allen2007	ɴ̣33tĩ33ʧʰʊ31qʰã42	bed
136	Tuoluo	bee	fɚ̃₅₅	f ɚ̃ ₅₅	?	367	367	?	Wang2006a	fɚ̃55	bee
137	Gongxing	bee	pfuŋ₅₅	p f u ŋ ₅₅	?	367	367	?	Wang2006a	pfuŋ55	bee
138	Enqi	bee	fo₂₄	f o ₂₄	?	367	367	?	Wang2006a	fo24	bee
139	Ega	bee	xõ₅₅	x õ ₅₅	?	367	367	?	Wang2006a	xõ55	bee
140	Jinman	bee	xõ₅₅	x õ ₅₅	?	367	367	?	Wang2006a	xõ55	bee
141	Jinxing	bee	fɤ̃₅₅	f ɤ̃ ₅₅	?	367	367	?	Wang2006a	fṽ55	bee
142	Dashi	bee	fɤ̃₅₅	f ɤ̃ ₅₅	?	367	367	?	Wang2006a	fṽ55	bee
143	Zhoucheng	bee	fɤ₅₅	f ɤ ₅₅	?	367	367	?	Wang2006a	fv55	bee
144	Mazhelong	bee	pʰen₅₅	pʰ e n ₅₅	?	367	367	?	Wang2006a	pʰen55	bee
145	Jianchuan	bee	fɤ̃₅₅	f ɤ̃ ₅₅	?	367	71	蜜蜂	Allen2007	fɤ̃55	bee
146	Eryuan	bee	t͡sɿ₅₅fɤ₅₅	t͡s ɿ ₅₅ f ɤ ₅₅	?	367	71	蜜蜂	Allen2007	tsɿ55fɤ55	bee
147	Heqi	bee	fɤ̃₅₅	f ɤ̃ ₅₅	?	367	71	蜜蜂	Allen2007	fɤ̃55	bee
148	Lanping	bee	fɯ̃₅₅	f ɯ̃ ₅₅	?	367	71	蜜蜂	Allen2007	fɯ̃55	bee
149	Qiliqiao	bee	fɤ₅₅	f ɤ ₅₅	?	367	71	蜜蜂	Allen2007	fɤ55	bee
150	Yunlong	bee	t͡sɿ₅₅fɤ₅₅	t͡s ɿ ₅₅ f ɤ ₅₅	?	367	71	蜜蜂	Allen2007	tsɿ55fɤ55	bee
151	Xiangyun	bee	fɯ̃₅₅	f ɯ̃ ₅₅	?	367	71	蜜蜂	Allen2007	fɯ̃55	bee
152	Luobenzhuo	bee	t͡ɕɛ̃₅₅ɴ̥ɴ̣₅₅	t͡ɕ ɛ̃ ₅₅ ɴ̥ ɴ̣ ₅₅	?	367	71	蜜蜂	Allen2007	tɕɛ̃55ɴ̥ɴ̣55	bee
153	Tuoluo	behind	ɣɯ₃₃	ɣ ɯ ₃₃	?	713	713	?	Wang2006a	ɣɯ33	back, behind
154	Gongxing	behind	ɣe₂₂	ɣ e ₂₂	?	713	713	?	Wang2006a	ɣe22	back, behind
155	Enqi	behind	ɯ₂₂	ɯ ₂₂	?	713	713	?	Wang2006a	ɯ22	back, behind
156	Ega	behind	xɯ̃₂₂	x ɯ̃ ₂₂	?	713	713	?	Wang2006a	xɯ̃22	back, behind
157	Jinman	behind	xẽ₅₅	x ẽ ₅₅	?	713	713	?	Wang2006a	xẽ55	back, behind
158	Jinxing	behind	ɣeǝ₃₃	ɣ eǝ ₃₃	?	713	713	?	Wang2006a	ɣeǝ33	back, behind
159	Dashi	behind	ɣɯ₃₃	ɣ ɯ ₃₃	?	713	713	?	Wang2006a	ɣɯ33	back, behind
160	Zhoucheng	behind	ɣɯ₃₃	ɣ ɯ ₃₃	?	713	713	?	Wang2006a	ɣɯ33	back, behind
161	Mazhelong	behind	ɣǝ₃₃	ɣ ǝ ₃₃	?	713	713	?	Wang2006a	ɣǝ33	back, behind
162	Jianchuan	behind	ɣɯ₃₃mi₄₂	ɣ ɯ ₃₃ m i ₄₂	?	713	26	后面	Allen2007	ɣɯ33mi42	behind
163	Eryuan	behind	ɣɯ₃₃pɔ₃₁	ɣ ɯ ₃₃ p ɔ ₃₁	?	713	26	后面	Allen2007	ɣɯ33pɔ31	behind
164	Heqi	behind	ɣɯ₃₃mi₄₂	ɣ ɯ ₃₃ m i ₄₂	?	713	26	后面	Allen2007	ɣɯ33mi42	behind
165	Lanping	behind	ɣɯ₄₄mi₃₃nɔ₄₄	ɣ ɯ ₄₄ m i ₃₃ n ɔ ₄₄	?	713	26	后面	Allen2007	ɣɯ44mi33nɔ44	behind
166	Qiliqiao	behind	ɔ₂₁tɔ₃₅mi₄₄	ɔ ₂₁ t ɔ ₃₅ m i ₄₄	?	713	26	后面	Allen2007	ɔ21tɔ35mi44	behind
167	Yunlong	behind	dɔ₃₁xɯ₅₅	d ɔ ₃₁ x ɯ ₅₅	?	713	26	后面	Allen2007	dɔ31xɯ55	behind
168	Xiangyun	behind	ɣɯ₃₃sɛ̃₂₁	ɣ ɯ ₃₃ s ɛ̃ ₂₁	?	713	26	后面	Allen2007	ɣɯ33sɛ̃21	behind
169	Luobenzhuo	behind	dɯ̃₃₁xɯ̃₃₃	d ɯ̃ ₃₁ x ɯ̃ ₃₃	?	713	26	后面	Allen2007	dɯ̃31xɯ̃33	behind
170	Tuoluo	belly;stomach	fɚ₄₂	f ɚ ₄₂	?	96	96	?	Wang2006a	fɚ42	belly
171	Gongxing	belly;stomach	ʐi₂₁	ʐ i ₂₁	?	96	96	?	Wang2006a	[ʐi21]	belly
172	Enqi	belly;stomach	fo₂₄	f o ₂₄	?	96	96	?	Wang2006a	fo24	belly
173	Ega	belly;stomach	xu₄₄	x u ₄₄	?	96	96	?	Wang2006a	xu44	belly
174	Jinman	belly;stomach	ʐɚ₄₂	ʐ ɚ ₄₂	?	96	96	?	Wang2006a	[ʐɚ42]	belly
175	Jinxing	belly;stomach	fɤ₄₄	f ɤ ₄₄	?	96	96	?	Wang2006a	fv44	belly
176	Dashi	belly;stomach	fo₄₄	f o ₄₄	?	96	96	?	Wang2006a	fo44	belly
177	Zhoucheng	belly;stomach	fɤ₄₄	f ɤ ₄₄	?	96	96	?	Wang2006a	fv44	belly
178	Mazhelong	belly;stomach	pɯ₄₄	p ɯ ₄₄	?	96	96	?	Wang2006a	pɯ44	belly
179	Jianchuan	belly;stomach	fɤ₄₄	f ɤ ₄₄	?	96	139	肚子	Allen2007	fɤ44	belly,stomach
180	Eryuan	belly;stomach	fɤ₄₄	f ɤ ₄₄	?	96	139	肚子	Allen2007	fɤ44	belly,stomach
181	Heqi	belly;stomach	fɤ₄₄	f ɤ ₄₄	?	96	139	肚子	Allen2007	fɤ44	belly,stomach
182	Lanping	belly;stomach	ʐɛ₃₁kʰu₃₃	ʐ ɛ ₃₁ kʰ u ₃₃	?	96	139	肚子	Allen2007	ʐɛ31kʰu33	belly,stomach
183	Qiliqiao	belly;stomach	fɤ₄₄	f ɤ ₄₄	?	96	139	肚子	Allen2007	fɤ44	belly,stomach
184	Yunlong	belly;stomach	fɤ₄₄	f ɤ ₄₄	?	96	139	肚子	Allen2007	fɤ44	belly,stomach
185	Xiangyun	belly;stomach	fɤ₄₄	f ɤ ₄₄	?	96	139	肚子	Allen2007	fɤ44	belly,stomach
186	Luobenzhuo	belly;stomach	ʐa₄₄	ʐ a ₄₄	?	96	139	肚子	Allen2007	ʐa44	belly,stomach
187	Tuoluo	big	dɔ₂₁	d ɔ ₂₁	?	964	964	?	Wang2006a	dɔ21	big
188	Gongxing	big	da₄₂	d a ₄₂	?	964	964	?	Wang2006a	da42	big
189	Enqi	big	da₄₃	d a ₄₃	?	964	964	?	Wang2006a	da43	big
190	Ega	big	do₄₂	d o ₄₂	?	964	964	?	Wang2006a	do42	big
191	Jinman	big	do₄₂	d o ₄₂	?	964	964	?	Wang2006a	do42	big
192	Jinxing	big	tou₄₂	t ou ₄₂	?	964	964	?	Wang2006a	tou42	big
193	Dashi	big	tou₄₂	t ou ₄₂	?	964	964	?	Wang2006a	tou42	big
194	Zhoucheng	big	to₄₂	t o ₄₂	?	964	964	?	Wang2006a	to42	big
195	Mazhelong	big	do₄₂	d o ₄₂	?	964	964	?	Wang2006a	do42	big
196	Jianchuan	big	tou₄₂	t ou ₄₂	?	964	386	大	Allen2007	tou42	big
197	Eryuan	big	tɔ₃₁	t ɔ ₃₁	?	964	386	大	Allen2007	tɔ31	big
198	Heqi	big	tɔu₄₂	t ɔu ₄₂	?	964	386	大	Allen2007	tɔu42	big
199	Lanping	big	to₃₁	t o ₃₁	?	964	386	大	Allen2007	to31	big
200	Qiliqiao	big	tɔ₃₁	t ɔ ₃₁	?	964	386	大	Allen2007	tɔ31	big
201	Yunlong	big	dao₃₁	d ao ₃₁	?	964	386	大	Allen2007	dao31	big
202	Xiangyun	big	tɔu₂₁	t ɔu ₂₁	?	964	386	大	Allen2007	tɔu21	big
203	Luobenzhuo	big	ʈao₄₄	ʈ ao ₄₄	?	964	386	大	Allen2007	ʈao44	big
204	Tuoluo	bird	t͡su₄₂	t͡s u ₄₂	?	326	326	?	Wang2006a	tsu42	bird
205	Gongxing	bird	t͡su₂₄	t͡s u ₂₄	?	326	326	?	Wang2006a	tsu24	bird
206	Enqi	bird	t͡su₅₅	t͡s u ₅₅	?	326	326	?	Wang2006a	tsu55	bird
207	Ega	bird	t͡su₄₄	t͡s u ₄₄	?	326	326	?	Wang2006a	tsu44	bird
208	Jinman	bird	t͡so₅₅	t͡s o ₅₅	?	326	326	?	Wang2006a	tso55	bird
209	Jinxing	bird	t͡sou₄₄	t͡s ou ₄₄	?	326	326	?	Wang2006a	tsou44	bird
210	Dashi	bird	t͡sou₃₃	t͡s ou ₃₃	?	326	326	?	Wang2006a	tsou33	bird
211	Zhoucheng	bird	t͡sou₄₄	t͡s ou ₄₄	?	326	326	?	Wang2006a	tsou44	bird
212	Mazhelong	bird	t͡so₄₄	t͡s o ₄₄	?	326	326	?	Wang2006a	tso44	bird
213	Jianchuan	bird	t͡sou₄₄t͡sɿ₃₃	t͡s ou ₄₄ t͡s ɿ ₃₃	?	326	61	鸟	Allen2007	tsou44tsɿ33	bird
214	Eryuan	bird	t͡sɔ₅₅	t͡s ɔ ₅₅	?	326	61	鸟	Allen2007	tsɔ55	bird
