ID	DOCULECT	CONCEPT	COUNTERPART	IPA	PROTO	COGID	PORTUGUESE
1	SIO	feminine	-go[-ʔkho]	go	*-kʔo	1	feminine
2	SEK	feminine	o	o	*-kʔo	1	feminine
3	KOR	feminine	o	o	*-kʔo	1	feminine
4	MAL	feminine	o	o	*-kʔo	1	feminine
5	KUB	feminine	ko	ko	*-kʔo	1	feminine
6	DES	feminine	go	go	*-kʔo	1	feminine
7	BAS	feminine	go	go	*-kʔo	1	feminine
8	TUK	feminine	go	go	*-kʔo	1	feminine
9	KAR	feminine	o	o	*-kʔo	1	feminine
10	WAN	feminine	-ko	ko	*-kʔo	1	feminine
11	PLR	feminine	-ko	ko	*-kʔo	1	feminine
12	SIO	non.3rd.animate.person	~wɨ	~wɨ	*-pʔɨ	2	-
13	SEK	non.3rd.animate.person	wɨ	wɨ	*-pʔɨ	2	-
14	KUB	non.3rd.animate.person	wɨ	wɨ	*-pʔɨ	2	-
15	DES	non.3rd.animate.person	bɨ	bɨ	*-pʔɨ	2	-
16	BAS	non.3rd.animate.person	bɨ	bɨ	*-pʔɨ	2	-
17	TUK	non.3rd.animate.person	-pɨ	pɨ	*-pʔɨ	2	-
18	SEK	3rd person masculine	pi, hi	pi	*-pi	3	3a ps masc I
19	KUB	3rd person masculine	bi	bi	*-pi	3	3a ps masc I
20	DES	3rd person masculine	~bi	~bi	*-pi	3	3a ps masc I
21	BAS	3rd person masculine	~bi	~bi	*-pi	3	3a ps masc I
22	TUK	3rd person masculine	-~bi	~bi	*-pi	3	3a ps masc I
23	SIO	Case: non-nominatvie	re,  ʔthe	re	*-tʔe	4	Caso: Não-nominativo
24	SEK	Case: non-nominatvie	re, te	re	*-tʔe	4	Caso: Não-nominativo
25	KOR	Case: non-nominatvie	re, ʔthe	re	*-tʔe	4	Caso: Não-nominativo
26	MAL	Case: non-nominatvie	de	de	*-tʔe	4	Caso: Não-nominativo
27	TAN	Case: non-nominatvie	re	re	*-tʔe	4	Caso: Não-nominativo
28	KUB	Case: non-nominatvie	de	de	*-tʔe	4	Caso: Não-nominativo
29	DES	Case: non-nominatvie	de	de	*-tʔe	4	Caso: Não-nominativo
30	BAS	Case: non-nominatvie	re	re	*-tʔe	4	Caso: Não-nominativo
31	TUK	Case: non-nominatvie	-re	re	*-tʔe	4	Caso: Não-nominativo
32	KAR	Case: non-nominatvie	-re	re	*-tʔe	4	Caso: Não-nominativo
33	WAN	Case: non-nominatvie	-re	re	*-tʔe	4	Caso: Não-nominativo
34	PLR	Case: non-nominatvie	-re	re	*-tʔe	4	Caso: Não-nominativo
35	SIO	locative	ro, ʔtho	ro	*-tʔo	5	locativo
36	SEK	locative	ro, to	ro	*-tʔo	5	locativo
37	MAL	locative	do	do	*-tʔo	5	locativo
38	KUB	locative	~do	~do	*-tʔo	5	locativo
39	DES	locative	do	do	*-tʔo	5	locativo
40	BAS	locative	do	do	*-tʔo	5	locativo
