ID	DOCULECT	CONCEPT	COUNTERPART	IPA	PROTO	COGID	PORTUGUESE
41	TUK	locative	-do	do	*-tʔo	5	locativo
42	KAR	locative	-do	do	*-tʔo	5	locativo
43	WAN	locative	-do	do	*-tʔo	5	locativo
44	PLR	locative	-do	do	*-tʔo	5	locativo
45	SIO	snake	ãjã	ãjã	*ãja	6	cobra
46	SEK	snake	ãjã	ãjã	*ãja	6	cobra
47	KOR	snake	ãjã	ãjã	*ãja	6	cobra
48	MAL	snake	ãjã	ãjã	*ãja	6	cobra
49	KUE	snake	haja	haja	*ãja	6	cobra
50	TAN	snake	~aja	~aja	*ãja	6	cobra
51	KUB	snake	~aja	~aja	*ãja	6	cobra
52	DES	snake	~aja	~aja	*ãja	6	cobra
53	BAS	snake	~aja	~aja	*ãja	6	cobra
54	TUK	snake	~aja	~aja	*ãja	6	cobra
55	KAR	snake	~aja	~aja	*ãja	6	cobra
56	WAN	snake	~aja	~aja	*ãja	6	cobra
57	PLR	snake	~aja	~aja	*ãja	6	cobra
58	SIO	hot	haʔsu	haʔsu	*atjɨ	7	quente
59	KOR	hot	asu	asu	*atjɨ	7	quente
60	MAL	hot	at∫u	at∫u	*atjɨ	7	quente
61	KUE	hot	&#10;hatɨ	&#10	*atjɨ	7	quente
62	DES	hot	asi	asi	*atjɨ	7	quente
63	BAS	hot	aci	aci	*atjɨ	7	quente
64	TUK	hot	asi	asi	*atjɨ	7	quente
65	KAR	hot	asi	asi	*atjɨ	7	quente
66	WAN	hot	si	si	*atjɨ	7	quente
67	SIO	nose	ũkue	ũkue	*ɨ̃kwʔe	8	nariz
68	SEK	nose	õkwe	õkwe	*ɨ̃kwʔe	8	nariz
69	KOR	nose	ɨ̃khe	ɨ̃khe	*ɨ̃kwʔe	8	nariz
70	MAL	nose	ũkue	ũkue	*ɨ̃kwʔe	8	nariz
71	KUE	nose	kome	kome	*ɨ̃kwʔe	8	nariz
72	TAN	nose	~obe	~obe	*ɨ̃kwʔe	8	nariz
73	KUB	nose	ũeka	ũeka	*ɨ̃kwʔe	8	nariz
74	DES	nose	~iʔgi	~iʔgi	*ɨ̃kwʔe	8	nariz
75	BAS	nose	~ige	~ige	*ɨ̃kwʔe	8	nariz
76	TUK	nose	~eʔke	~eʔke	*ɨ̃kwʔe	8	nariz
77	KAR	nose	~ɨke	~ɨke	*ɨ̃kwʔe	8	nariz
78	WAN	nose	~ke	~ke	*ɨ̃kwʔe	8	nariz
79	SIO	man	ɨmɨ	ɨmɨ	*ɨmɨ	9	homem
80	SEK	man	ɨ̃mɨ̃	ɨ̃mɨ̃	*ɨmɨ	9	homem
81	KOR	man	ɨmɨ	ɨmɨ	*ɨmɨ	9	homem
82	MAL	man	ɨmɨ	ɨmɨ	*ɨmɨ	9	homem
83	TAN	man	~ɨbɨ	~ɨbɨ	*ɨmɨ	9	homem
84	KUB	man	~ɨbɨ	~ɨbɨ	*ɨmɨ	9	homem
85	DES	man	~ɨbɨ	~ɨbɨ	*ɨmɨ	9	homem
86	BAS	man	~ɨbɨ	~ɨbɨ	*ɨmɨ	9	homem
87	TUK	man	~ɨbɨ	~ɨbɨ	*ɨmɨ	9	homem
88	KAR	man	~bɨ	~bɨ	*ɨmɨ	9	homem
89	WAN	man	~ɨbɨ	~ɨbɨ	*ɨmɨ	9	homem
90	SIO	pupunha	ɨne	ɨne	*ɨne	10	pupunha
91	KOR	pupunha	ɨne	ɨne	*ɨne	10	pupunha
92	KUE	pupunha	ɨʔne	ɨʔne	*ɨne	10	pupunha
93	TAN	pupunha	~ire	~ire	*ɨne	10	pupunha
94	KUB	pupunha	~ɨde	~ɨde	*ɨne	10	pupunha
95	DES	pupunha	~ɨdi	~ɨdi	*ɨne	10	pupunha
96	BAS	pupunha	~ɨde	~ɨde	*ɨne	10	pupunha
97	TUK	pupunha	~ɨde	~ɨde	*ɨne	10	pupunha
98	KAR	pupunha	~ɨde	~ɨde	*ɨne	10	pupunha
99	WAN	pupunha	~ɨde	~ɨde	*ɨne	10	pupunha
100	PLR	pupunha	~ɨde	~ɨde	*ɨne	10	pupunha
101	KUE	three	itia	itia	*ɨtʔia	11	três
102	DES	three	ɨʔde	ɨʔde	*ɨtʔia	11	três
103	BAS	three	idia	idia	*ɨtʔia	11	três
104	TUK	three	iʔtia	iʔtia	*ɨtʔia	11	três
105	WAN	three	tia	tia	*ɨtʔia	11	três
106	SIO	grape	ɨje	ɨje	*ɨʔje	12	cucura
107	KOR	grape	ɨje	ɨje	*ɨʔje	12	cucura
108	MAL	grape	ede	ede	*ɨʔje	12	cucura
109	KUB	grape	ɨ́́jai	ɨ́́jai	*ɨʔje	12	cucura
110	DES	grape	igi	igi	*ɨʔje	12	cucura
111	BAS	grape	ɨje	ɨje	*ɨʔje	12	cucura
112	TUK	grape	ɨʔse	ɨʔse	*ɨʔje	12	cucura
113	KAR	grape	ɨse	ɨse	*ɨʔje	12	cucura
114	WAN	grape	se	se	*ɨʔje	12	cucura
115	SEK	heron	jai	jai	*jahi	13	garça
116	MAL	heron	jai	jai	*jahi	13	garça
117	KUB	heron	jai	jai	*jahi	13	garça
118	DES	heron	jahi	jahi	*jahi	13	garça
119	BAS	heron	jehe	jehe	*jahi	13	garça
120	TUK	heron	jahe	jahe	*jahi	13	garça
121	KAR	heron	jee	jee	*jahi	13	garça
122	WAN	heron	jaha	jaha	*jahi	13	garça
123	SIO	jaguar	jai	jai	*jai	14	onça
124	SEK	jaguar	jai	jai	*jai	14	onça
125	KOR	jaguar	jai	jai	*jai	14	onça
126	MAL	jaguar	jai	jai	*jai	14	onça
127	KUE	jaguar	hijai	hijai	*jai	14	onça
128	TAN	jaguar	jaia	jaia	*jai	14	onça
129	KUB	jaguar	jawi	jawi	*jai	14	onça
130	DES	jaguar	jee	jee	*jai	14	onça
131	BAS	jaguar	jai	jai	*jai	14	onça
132	TUK	jaguar	jai	jai	*jai	14	onça
133	KAR	jaguar	jai	jai	*jai	14	onça
134	WAN	jaguar	jai	jai	*jai	14	onça
135	KUB	centipede	ãi	ãi	*jãkʔi	15	centopéia
136	DES	centipede	~aʔgi	~aʔgi	*jãkʔi	15	centopéia
137	TUK	centipede	~aʔki	~aʔki	*jãkʔi	15	centopéia
138	WAN	centipede	~jaʔki	~jaʔki	*jãkʔi	15	centopéia
139	SIO	deer	jãma	jãma	*jama	16	veado
140	SEK	deer	jãma	jãma	*jama	16	veado
141	KOR	deer	jãma	jãma	*jama	16	veado
142	KUE	deer	jãma	jãma	*jama	16	veado
143	TAN	deer	~jaba	~jaba	*jama	16	veado
144	KUB	deer	~jaba	~jaba	*jama	16	veado
145	DES	deer	~jaba	~jaba	*jama	16	veado
146	BAS	deer	~jaba	~jaba	*jama	16	veado
147	TUK	deer	~jaba	~jaba	*jama	16	veado
148	KAR	deer	~jaba	~jaba	*jama	16	veado
149	WAN	deer	~jaba	~jaba	*jama	16	veado
150	SIO	yam	jãho	jãho	*jãpʔo	17	nhame
151	KOR	yam	jãho	jãho	*jãpʔo	17	nhame
152	MAL	yam	jãho	jãho	*jãpʔo	17	nhame
153	KUE	yam	jau	jau	*jãpʔo	17	nhame
154	TAN	yam	~jaʔbu	~jaʔbu	*jãpʔo	17	nhame
155	KUB	yam	~jabu	~jabu	*jãpʔo	17	nhame
156	DES	yam	~jaʔbo	~jaʔbo	*jãpʔo	17	nhame
157	BAS	yam	~jabo	~jabo	*jãpʔo	17	nhame
158	TUK	yam	~jaʔbu	~jaʔbu	*jãpʔo	17	nhame
159	KAR	yam	~jabo	~jabo	*jãpʔo	17	nhame
160	WAN	yam	~jaʔbu	~jaʔbu	*jãpʔo	17	nhame
161	SEK	cará(Dioscorea alata)	jahi	jahi	*japi	18	Cará
162	KOR	cará(Dioscorea alata)	jahi	jahi	*japi	18	Cará
163	KUE	cará(Dioscorea alata)	jahiri	jahiri	*japi	18	Cará
164	TAN	cará(Dioscorea alata)	~jaʔpi	~jaʔpi	*japi	18	Cará
165	KUB	cará(Dioscorea alata)	~japi	~japi	*japi	18	Cará
166	DES	cará(Dioscorea alata)	~japi	~japi	*japi	18	Cará
167	BAS	cará(Dioscorea alata)	~jahi	~jahi	*japi	18	Cará
168	TUK	cará(Dioscorea alata)	~japi	~japi	*japi	18	Cará
169	KAR	cará(Dioscorea alata)	~japi	~japi	*japi	18	Cará
170	WAN	cará(Dioscorea alata)	~japi	~japi	*japi	18	Cará
171	KOR	grand-father	jẽkuɨ	jẽkuɨ	*jẽkku-	19	avô
172	MAL	grand-father	jẽkɨ	jẽkɨ	*jẽkku-	19	avô
173	KUB	grand-father	~jekũjo	~jekũjo	*jẽkku-	19	avô
174	DES	grand-father	~jekɨ	~jekɨ	*jẽkku-	19	avô
175	BAS	grand-father	~jikɨ	~jikɨ	*jẽkku-	19	avô
176	TUK	grand-father	~jekɨ	~jekɨ	*jẽkku-	19	avô
177	KAR	grand-father	~jikɨ	~jikɨ	*jẽkku-	19	avô
178	WAN	grand-father	~jɨt∫ɨ	~jɨt∫ɨ	*jẽkku-	19	avô
179	SIO	land	jiha	jiha	*jepʔa	20	terra
180	SEK	land	jeha	jeha	*jepʔa	20	terra
181	KOR	land	jeha	jeha	*jepʔa	20	terra
182	MAL	land	jiha	jiha	*jepʔa	20	terra
183	KUB	land	jiba	jiba	*jepʔa	20	terra
184	DES	land	jeeba	jeeba	*jepʔa	20	terra
185	BAS	land	jeba	jeba	*jepʔa	20	terra
186	TUK	land	jeʔpa	jeʔpa	*jepʔa	20	terra
187	KAR	land	jepa	jepa	*jepʔa	20	terra
188	WAN	land	jaʔpa	jaʔpa	*jepʔa	20	terra
189	SIO	mouth2	jiʔobo	jiʔobo	*jɨ-ʔo	21	boca2
190	SEK	mouth2	jɨʔo	jɨʔo	*jɨ-ʔo	21	boca2
191	KOR	mouth2	jiʔobo	jiʔobo	*jɨ-ʔo	21	boca2
192	MAL	mouth2	jo	jo	*jɨ-ʔo	21	boca2
193	SIO	kapok	jɨi	jɨi	*jɨi	22	algodão do mato
194	SEK	kapok	jɨi	jɨi	*jɨi	22	algodão do mato
195	KOR	kapok	oja	oja	*jɨi	22	algodão do mato
196	KUE	kapok	iʔotahe	iʔotahe	*jɨi	22	algodão do mato
197	TAN	kapok	juʔta	juʔta	*jɨi	22	algodão do mato
198	KUB	kapok	jɨi	jɨi	*jɨi	22	algodão do mato
199	DES	kapok	juda	juda	*jɨi	22	algodão do mato
200	BAS	kapok	jɨta	jɨta	*jɨi	22	algodão do mato
201	TUK	kapok	juta	juta	*jɨi	22	algodão do mato
202	KAR	kapok	jita	jita	*jɨi	22	algodão do mato
203	WAN	kapok	juta	juta	*jɨi	22	algodão do mato
204	SEK	leg	dɨ̃ka	dɨ̃ka	*jɨ̃ka	23	perna
205	KOR	leg	jũka	jũka	*jɨ̃ka	23	perna
206	TAN	leg	~jika	~jika	*jɨ̃ka	23	perna
207	KUB	leg	~jɨa	~jɨa	*jɨ̃ka	23	perna
208	DES	leg	~jiga	~jiga	*jɨ̃ka	23	perna
209	BAS	leg	~jika	~jika	*jɨ̃ka	23	perna
210	TUK	leg	~jeka	~jeka	*jɨ̃ka	23	perna
211	KAR	leg	~jika	~jika	*jɨ̃ka	23	perna
212	WAN	leg	~jɨt∫ɨ	~jɨt∫ɨ	*jɨ̃ka	23	perna
213	SIO	I	jɨɨ	jɨɨ	*jɨʔɨ	24	Eu
214	SEK	I	jɨʔɨ	jɨʔɨ	*jɨʔɨ	24	Eu
215	KOR	I	jɨʔɨ	jɨʔɨ	*jɨʔɨ	24	Eu
216	MAL	I	ji	ji	*jɨʔɨ	24	Eu
217	KUE	I	jehɨ	jehɨ	*jɨʔɨ	24	Eu
218	TAN	I	jiʔi	jiʔi	*jɨʔɨ	24	Eu
219	KUB	I	jɨ	jɨ	*jɨʔɨ	24	Eu
220	DES	I	jɨʔɨ	jɨʔɨ	*jɨʔɨ	24	Eu
221	BAS	I	jɨɨ	jɨɨ	*jɨʔɨ	24	Eu
222	TUK	I	jɨʔɨ	jɨʔɨ	*jɨʔɨ	24	Eu
223	KAR	I	jɨɨ	jɨɨ	*jɨʔɨ	24	Eu
224	WAN	I	jɨʔɨ	jɨʔɨ	*jɨʔɨ	24	Eu
225	SIO	ear	kʔãho	kʔãho	*kʔãpʔo	25	orelha
226	SEK	ear	kãho	kãho	*kʔãpʔo	25	orelha
227	KOR	ear	kãho	kãho	*kʔãpʔo	25	orelha
228	MAL	ear	gãho	gãho	*kʔãpʔo	25	orelha
229	KUE	ear	~kiau	~kiau	*kʔãpʔo	25	orelha
230	TAN	ear	~abu	~abu	*kʔãpʔo	25	orelha
231	KUB	ear	~kamu	~kamu	*kʔãpʔo	25	orelha
232	DES	ear	~gabi	~gabi	*kʔãpʔo	25	orelha
233	BAS	ear	~gabo	~gabo	*kʔãpʔo	25	orelha
234	TUK	ear	~oʔbe	~oʔbe	*kʔãpʔo	25	orelha
235	KAR	ear	~abo	~abo	*kʔãpʔo	25	orelha
236	WAN	ear	~kaʔbo	~kaʔbo	*kʔãpʔo	25	orelha
237	SIO	foot	~kʔɨo	~kʔɨo	*kʔɨpʔo	26	pé
238	SEK	foot	~kɨo	~kɨo	*kʔɨpʔo	26	pé
239	KOR	foot	~kuʔa	~kuʔa	*kʔɨpʔo	26	pé
240	MAL	foot	~gɨo	~gɨo	*kʔɨpʔo	26	pé
241	KUE	foot	kohu	kohu	*kʔɨpʔo	26	pé
242	TAN	foot	~uʔpu	~uʔpu	*kʔɨpʔo	26	pé
243	KUB	foot	kɨbo	kɨbo	*kʔɨpʔo	26	pé
244	DES	foot	guʔbu	guʔbu	*kʔɨpʔo	26	pé
245	BAS	foot	gɨbo	gɨbo	*kʔɨpʔo	26	pé
246	TUK	foot	dɨʔpo	dɨʔpo	*kʔɨpʔo	26	pé
247	KAR	foot	rɨpo	rɨpo	*kʔɨpʔo	26	pé
248	WAN	foot	daʔpo	daʔpo	*kʔɨpʔo	26	pé
249	SIO	excrement	kʔɨta	kʔɨta	*kʔɨtʔa	27	fezes
250	SEK	excrement	ɨ̃ta	ɨ̃ta	*kʔɨtʔa	27	fezes
251	KOR	excrement	kɨta	kɨta	*kʔɨtʔa	27	fezes
252	MAL	excrement	ɨ̃ta	ɨ̃ta	*kʔɨtʔa	27	fezes
253	KUE	excrement	ɨta	ɨta	*kʔɨtʔa	27	fezes
254	TAN	excrement	ita	ita	*kʔɨtʔa	27	fezes
255	KUB	excrement	kɨda	kɨda	*kʔɨtʔa	27	fezes
256	DES	excrement	gɨda	gɨda	*kʔɨtʔa	27	fezes
257	BAS	excrement	gɨda	gɨda	*kʔɨtʔa	27	fezes
258	TUK	excrement	ɨʔta	ɨʔta	*kʔɨtʔa	27	fezes
259	KAR	excrement	gɨta	gɨta	*kʔɨtʔa	27	fezes
260	WAN	excrement	~ta	~ta	*kʔɨtʔa	27	fezes
261	PLR	excrement	kɨʔta	kɨʔta	*kʔɨtʔa	27	fezes
262	SIO	tortoise	kʔoɨ	kʔoɨ	*kʔoɨ	28	jabuti
263	SEK	tortoise	kou	kou	*kʔoɨ	28	jabuti
264	KOR	tortoise	koɨ	koɨ	*kʔoɨ	28	jabuti
265	KUE	tortoise	kaɨ	kaɨ	*kʔoɨ	28	jabuti
266	TAN	tortoise	oʔi	oʔi	*kʔoɨ	28	jabuti
267	KUB	tortoise	~kuɨ	~kuɨ	*kʔoɨ	28	jabuti
268	DES	tortoise	gui	gui	*kʔoɨ	28	jabuti
269	BAS	tortoise	guu	guu	*kʔoɨ	28	jabuti
270	TUK	tortoise	uhudi	uhudi	*kʔoɨ	28	jabuti
271	KAR	tortoise	uu	uu	*kʔoɨ	28	jabuti
272	WAN	tortoise	ku	ku	*kʔoɨ	28	jabuti
273	SIO	urinate	kʔõne	kʔõne	*kʔone	29	urinar
274	SEK	urinate	kõne	kõne	*kʔone	29	urinar
275	KOR	urinate	õne	õne	*kʔone	29	urinar
276	MAL	urinate	gone	gone	*kʔone	29	urinar
277	KUB	urinate	~kode	~kode	*kʔone	29	urinar
278	DES	urinate	~gode	~gode	*kʔone	29	urinar
279	BAS	urinate	~gode	~gode	*kʔone	29	urinar
280	TUK	urinate	~oʔde	~oʔde	*kʔone	29	urinar
281	KAR	urinate	~ode	~ode	*kʔone	29	urinar
282	WAN	urinate	~khudu	~khudu	*kʔone	29	urinar
283	SIO	hole	kʔohe	kʔohe	*kʔope	30	buraco
284	SEK	hole	kohe	kohe	*kʔope	30	buraco
285	KOR	hole	kohe	kohe	*kʔope	30	buraco
286	MAL	hole	gohe	gohe	*kʔope	30	buraco
287	KUE	hole	gohe	gohe	*kʔope	30	buraco
288	TAN	hole	kope	kope	*kʔope	30	buraco
289	KUB	hole	kobe	kobe	*kʔope	30	buraco
290	DES	hole	gobe	gobe	*kʔope	30	buraco
291	BAS	hole	gohe	gohe	*kʔope	30	buraco
292	TUK	hole	kope	kope	*kʔope	30	buraco
293	KAR	hole	ope	ope	*kʔope	30	buraco
294	WAN	hole	kope	kope	*kʔope	30	buraco
295	SIO	tooth	~kʔuhi	~kʔuhi	*kʔõpi	31	dente
296	SEK	tooth	~koʔhi	~koʔhi	*kʔõpi	31	dente
297	KOR	tooth	~khohi	~khohi	*kʔõpi	31	dente
298	MAL	tooth	gũhi	gũhi	*kʔõpi	31	dente
299	KUE	tooth	kohi	kohi	*kʔõpi	31	dente
300	TAN	tooth	opi	opi	*kʔõpi	31	dente
301	KUB	tooth	~kopi	~kopi	*kʔõpi	31	dente
302	BAS	tooth	guhi	guhi	*kʔõpi	31	dente
303	TUK	tooth	upi	upi	*kʔõpi	31	dente
304	KAR	tooth	opi	opi	*kʔõpi	31	dente
305	WAN	tooth	pidiaka	pidiaka	*kʔõpi	31	dente
306	SIO	bone	kʔõʔa	kʔõʔa	*kʔoʔa	32	osso
307	KUE	bone	koa	koa	*kʔoʔa	32	osso
308	TAN	bone	~uʔa	~uʔa	*kʔoʔa	32	osso
309	KUB	bone	~kua	~kua	*kʔoʔa	32	osso
310	DES	bone	~goa	~goa	*kʔoʔa	32	osso
311	BAS	bone	~goa	~goa	*kʔoʔa	32	osso
312	TUK	bone	~oʔa	~oʔa	*kʔoʔa	32	osso
313	KAR	bone	~oʔa	~oʔa	*kʔoʔa	32	osso
314	WAN	bone	~khoʔa	~khoʔa	*kʔoʔa	32	osso
315	SIO	flower	kodo	kodo	*kʔoʔo	33	flor
316	SEK	flower	hodo	hodo	*kʔoʔo	33	flor
317	KOR	flower	koro-	koro	*kʔoʔo	33	flor
318	KUE	flower	teko	teko	*kʔoʔo	33	flor
319	TAN	flower	~oʔo	~oʔo	*kʔoʔo	33	flor
320	KUB	flower	kowɨ	kowɨ	*kʔoʔo	33	flor
321	DES	flower	go	go	*kʔoʔo	33	flor
322	BAS	flower	godo	godo	*kʔoʔo	33	flor
323	TUK	flower	oʔo	oʔo	*kʔoʔo	33	flor
324	WAN	flower	koʔo	koʔo	*kʔoʔo	33	flor
325	SIO	sleep	kã-i	kã+i	*kã-	34	dormir
326	SEK	sleep	kã-i	kã+i	*kã-	34	dormir
327	KOR	sleep	kã-i	kã+i	*kã-	34	dormir
328	MAL	sleep	kã-i	kã+i	*kã-	34	dormir
329	TAN	sleep	~kari	~kari	*kã-	34	dormir
330	KUB	sleep	kã	kã	*kã-	34	dormir
331	DES	sleep	~kadi	~kadi	*kã-	34	dormir
332	BAS	sleep	~kadi	~kadi	*kã-	34	dormir
333	TUK	sleep	~kadi	~kadi	*kã-	34	dormir
334	KAR	sleep	~kadi	~kadi	*kã-	34	dormir
335	WAN	sleep	~khadi	~khadi	*kã-	34	dormir
336	KOR	elevated structure (shelves roof etc.)	khaja	khaja	*kaja	35	jirau
337	KUB	elevated structure (shelves roof etc.)	kaja	kaja	*kaja	35	jirau
338	DES	elevated structure (shelves roof etc.)	kaja	kaja	*kaja	35	jirau
339	BAS	elevated structure (shelves roof etc.)	kaca	kaca	*kaja	35	jirau
340	TUK	elevated structure (shelves roof etc.)	kasa	kasa	*kaja	35	jirau
341	KAR	elevated structure (shelves roof etc.)	kaja	kaja	*kaja	35	jirau
342	WAN	elevated structure (shelves roof etc.)	kasa	kasa	*kaja	35	jirau
343	SIO	manioc	kɨi	kɨi	*kɨi	36	mandioca
344	KOR	manioc	khɨi	khɨi	*kɨi	36	mandioca
345	MAL	manioc	kɨi	kɨi	*kɨi	36	mandioca
346	KUE	manioc	kɨ	kɨ	*kɨi	36	mandioca
347	TAN	manioc	ki	ki	*kɨi	36	mandioca
348	KUB	manioc	kɨi	kɨi	*kɨi	36	mandioca
349	DES	manioc	kĩĩ	kĩĩ	*kɨi	36	mandioca
350	BAS	manioc	kĩ	kĩ	*kɨi	36	mandioca
351	TUK	manioc	kii	kii	*kɨi	36	mandioca
352	KAR	manioc	kii	kii	*kɨi	36	mandioca
353	WAN	manioc	khɨɨ	khɨɨ	*kɨi	36	mandioca
354	SIO	woodpecker	kone	kone	*kone	37	pica-pau
355	SEK	woodpecker	kõne	kõne	*kone	37	pica-pau
356	KOR	woodpecker	khõne	khõne	*kone	37	pica-pau
357	MAL	woodpecker	kone	kone	*kone	37	pica-pau
358	KUB	woodpecker	~kode	~kode	*kone	37	pica-pau
359	DES	woodpecker	~kode	~kode	*kone	37	pica-pau
360	BAS	woodpecker	~kode	~kode	*kone	37	pica-pau
361	TUK	woodpecker	~kode	~kode	*kone	37	pica-pau
362	KAR	woodpecker	~kode	~kode	*kone	37	pica-pau
363	WAN	woodpecker	~khode	~khode	*kone	37	pica-pau
364	SIO	to bite	kũʔi	kũʔi	*kũ	38	morder
365	SEK	to bite	kõkɨ	kõkɨ	*kũ	38	morder
366	KOR	to bite	khũʔi	khũʔi	*kũ	38	morder
367	MAL	to bite	kũi	kũi	*kũ	38	morder
368	TAN	to bite	kuʔku	kuʔku	*kũ	38	morder
369	KUB	to bite	~ku	~ku	*kũ	38	morder
370	DES	to bite	~kudi	~kudi	*kũ	38	morder
371	BAS	to bite	~kuni	~kuni	*kũ	38	morder
372	TUK	to bite	~kuʔdi	~kuʔdi	*kũ	38	morder
373	SIO	capybara	kʔueso	kʔueso	*kwetju	39	Capivara
374	SEK	capybara	kueso	kueso	*kwetju	39	Capivara
375	KOR	capybara	kuẽso	kuẽso	*kwetju	39	Capivara
376	KUE	capybara	ketu	ketu	*kwetju	39	Capivara
377	TAN	capybara	keehu	keehu	*kwetju	39	Capivara
378	SEK	wait	ute	ute	*kwɨtʔe	40	esperar
379	MAL	wait	ɨ̃te	ɨ̃te	*kwɨtʔe	40	esperar
380	KUE	wait	hote	hote	*kwɨtʔe	40	esperar
381	KUB	wait	kode	kode	*kwɨtʔe	40	esperar
382	DES	wait	kode	kode	*kwɨtʔe	40	esperar
383	BAS	wait	kode	kode	*kwɨtʔe	40	esperar
384	TUK	wait	koʔte	koʔte	*kwɨtʔe	40	esperar
385	WAN	wait	koʔta	koʔta	*kwɨtʔe	40	esperar
386	SIO	macaw	ma	ma	*maha	41	arara
387	SEK	macaw	toa-ma	toa+ma	*maha	41	arara
388	KOR	macaw	maa	maa	*maha	41	arara
389	MAL	macaw	ma	ma	*maha	41	arara
390	KUB	macaw	~ma	~ma	*maha	41	arara
391	DES	macaw	~baha	~baha	*maha	41	arara
392	BAS	macaw	~baha	~baha	*maha	41	arara
393	TUK	macaw	~baha	~baha	*maha	41	arara
394	KAR	macaw	~baa	~baa	*maha	41	arara
395	WAN	macaw	~baha	~baha	*maha	41	arara
396	SIO	know	maʔsi	maʔsi	*masi	42	saber
397	KOR	know	masi	masi	*masi	42	saber
398	KUE	know	masi	masi	*masi	42	saber
399	KUB	know	mahi	mahi	*masi	42	saber
400	DES	know	~basi	~basi	*masi	42	saber
401	BAS	know	~baci	~baci	*masi	42	saber
402	TUK	know	~basi	~basi	*masi	42	saber
403	WAN	know	~basi	~basi	*masi	42	saber
404	SIO	path	maʔa	maʔa	*maʔa	43	caminho
405	SEK	path	maʔa	maʔa	*maʔa	43	caminho
406	KOR	path	maʔa	maʔa	*maʔa	43	caminho
407	MAL	path	ma	ma	*maʔa	43	caminho
408	KUE	path	maa	maa	*maʔa	43	caminho
409	TAN	path	~baʔa	~baʔa	*maʔa	43	caminho
410	KUB	path	~ba	~ba	*maʔa	43	caminho
411	DES	path	~baʔa	~baʔa	*maʔa	43	caminho
412	BAS	path	~baa	~baa	*maʔa	43	caminho
413	TUK	path	~ba	~ba	*maʔa	43	caminho
414	KAR	path	~baʔa	~baʔa	*maʔa	43	caminho
415	WAN	path	~baʔa	~baʔa	*maʔa	43	caminho
416	SIO	ant sp.	mea	mea	*meka	44	formiga sp.
417	KOR	ant sp.	mekha	mekha	*meka	44	formiga sp.
418	MAL	ant sp.	meka	meka	*meka	44	formiga sp.
419	KUE	ant sp.	mekia	mekia	*meka	44	formiga sp.
